model	gen	abs_mean	abs95d	abs95u
Deep_GCN_AE	1	0.2825841	0.2799110	0.2852573
Deep_GCN_AE	2	0.2880510	0.2880096	0.2880924
Deep_GCN_AE	3	0.2880408	0.2879925	0.2880891
Deep_GCN_AE	4	0.2880515	0.2880122	0.2880908
Deep_GCN_AE	5	0.2880701	0.2880297	0.2881106
Deep_GCN_AE	6	0.2880602	0.2880242	0.2880963
Deep_GCN_AE	7	0.2880602	0.2880242	0.2880963
Deep_GCN_AE	8	0.2880602	0.2880242	0.2880963
Deep_GCN_AE	9	0.2880602	0.2880242	0.2880963
Deep_GCN_AE	10	0.3316915	0.2434987	0.4198843
Deep_GCN_AE	11	0.2880602	0.2880242	0.2880963
Deep_GCN_AE	12	0.2880602	0.2880242	0.2880963
Deep_GCN_AE	13	0.2880602	0.2880242	0.2880963
Deep_GCN_AE	14	0.2880602	0.2880242	0.2880963
Deep_GCN_AE	15	0.2880602	0.2880242	0.2880963
Deep_GCN_AE	16	0.2880602	0.2880242	0.2880963
Deep_GCN_AE	17	0.2880602	0.2880242	0.2880963
Deep_GCN_AE	18	0.2880602	0.2880242	0.2880963
Deep_GCN_AE	19	0.2880602	0.2880242	0.2880963
Deep_GCN_AE	20	0.2880602	0.2880242	0.2880963
