model	gen	abs_mean	abs95d	abs95u
Erdos-Renyi	1	0.0500540	0.0500781	0.0500300
Erdos-Renyi	2	0.0499679	0.0499918	0.0499440
Erdos-Renyi	3	0.0499797	0.0500009	0.0499587
Erdos-Renyi	4	0.0500103	0.0500417	0.0499791
Erdos-Renyi	5	0.0499846	0.0500303	0.0499392
Erdos-Renyi	6	0.0500237	0.0500339	0.0500135
Erdos-Renyi	7	0.0500305	0.0500452	0.0500159
Erdos-Renyi	8	0.0499814	0.0499683	0.0499945
Erdos-Renyi	9	0.0500059	0.0500050	0.0500068
Erdos-Renyi	10	0.0499082	0.0498930	0.0499233
Erdos-Renyi	11	0.0500192	0.0500059	0.0500324
Erdos-Renyi	12	0.0500299	0.0500408	0.0500190
Erdos-Renyi	13	0.0498350	0.0498158	0.0498541
Erdos-Renyi	14	0.0500022	0.0499838	0.0500205
Erdos-Renyi	15	0.0499581	0.0499333	0.0499828
Erdos-Renyi	16	0.0500770	0.0500713	0.0500825
Erdos-Renyi	17	0.0499594	0.0499414	0.0499773
Erdos-Renyi	18	0.0500008	0.0499774	0.0500240
Erdos-Renyi	19	0.0501162	0.0501023	0.0501301
Erdos-Renyi	20	0.0500559	0.0500397	0.0500721
