model	gen	abs_mean	abs95d	abs95u
Kronecker	1	0.0466860	0.0466120	0.0467599
Kronecker	2	0.0485678	0.0485199	0.0486156
Kronecker	3	0.0495411	0.0495255	0.0495567
Kronecker	4	0.0500562	0.0500475	0.0500649
Kronecker	5	0.0502943	0.0502969	0.0502917
Kronecker	6	0.0503337	0.0503398	0.0503276
Kronecker	7	0.0503258	0.0503325	0.0503191
Kronecker	8	0.0503211	0.0503307	0.0503114
Kronecker	9	0.0503331	0.0503455	0.0503208
Kronecker	10	0.0503236	0.0503348	0.0503124
Kronecker	11	0.0503174	0.0503288	0.0503059
Kronecker	12	0.0503201	0.0503291	0.0503112
Kronecker	13	0.0503143	0.0503245	0.0503041
Kronecker	14	0.0503235	0.0503319	0.0503150
Kronecker	15	0.0503297	0.0503419	0.0503176
Kronecker	16	0.0503228	0.0503317	0.0503139
Kronecker	17	0.0503229	0.0503334	0.0503123
Kronecker	18	0.0503201	0.0503293	0.0503110
Kronecker	19	0.0503175	0.0503261	0.0503090
Kronecker	20	0.0503292	0.0503383	0.0503200
