model	gen	abs_mean	abs95d	abs95u
Linear_AE	1	0.2905513	0.2900777	0.2910249
Linear_AE	2	0.2867269	0.2863568	0.2870971
Linear_AE	3	0.2869207	0.2867885	0.2870529
Linear_AE	4	0.2869737	0.2868245	0.2871229
Linear_AE	5	0.2871845	0.2870185	0.2873504
Linear_AE	6	0.2875185	0.2873548	0.2876822
Linear_AE	7	0.2880391	0.2879018	0.2881764
Linear_AE	8	0.2883184	0.2881299	0.2885069
Linear_AE	9	0.2884775	0.2882457	0.2887094
Linear_AE	10	0.2886107	0.2883821	0.2888393
Linear_AE	11	0.2886285	0.2883028	0.2889542
Linear_AE	12	0.2885932	0.2881480	0.2890385
Linear_AE	13	0.2885965	0.2881540	0.2890391
Linear_AE	14	0.2885706	0.2880882	0.2890529
Linear_AE	15	0.2885512	0.2880536	0.2890487
Linear_AE	16	0.2886122	0.2880232	0.2892012
Linear_AE	17	0.2886119	0.2880231	0.2892007
Linear_AE	18	0.2885431	0.2877997	0.2892865
Linear_AE	19	0.2884229	0.2874399	0.2894059
Linear_AE	20	0.2884230	0.2874398	0.2894062
