	model	gen	abs_mean	abs95d	abs95u
0	Linear_VAE	1	0.0498628	0.0498027	0.0499229
1	Linear_VAE	2	0.0498515	0.0498407	0.0498623
2	Linear_VAE	3	0.0498704	0.0498508	0.0498900
3	Linear_VAE	4	0.0498775	0.0498597	0.0498954
4	Linear_VAE	5	0.0499744	0.0499641	0.0499846
5	Linear_VAE	6	0.0500361	0.0500417	0.0500304
6	Linear_VAE	7	0.0500377	0.0500457	0.0500296
7	Linear_VAE	8	0.0500377	0.0500457	0.0500296
8	Linear_VAE	9	0.0500377	0.0500457	0.0500296
9	Linear_VAE	10	0.0500377	0.0500457	0.0500296
10	Linear_VAE	11	0.0500377	0.0500457	0.0500296
11	Linear_VAE	12	0.0500377	0.0500457	0.0500296
12	Linear_VAE	13	0.0500377	0.0500457	0.0500296
13	Linear_VAE	14	0.0500377	0.0500457	0.0500296
14	Linear_VAE	15	0.0500377	0.0500457	0.0500296
15	Linear_VAE	16	0.0500377	0.0500457	0.0500296
16	Linear_VAE	17	0.0500377	0.0500457	0.0500296
17	Linear_VAE	18	0.0500377	0.0500457	0.0500296
18	Linear_VAE	19	0.0500377	0.0500457	0.0500296
19	Linear_VAE	20	0.0500377	0.0500457	0.0500296
