model	gen	abs_mean	abs95d	abs95u
SBM	1	0.0363219	0.0348542	0.0377897
SBM	2	0.0379967	0.0368180	0.0391753
SBM	3	0.0379456	0.0367602	0.0391311
SBM	4	0.0387705	0.0376925	0.0398485
SBM	5	0.0392174	0.0381855	0.0402492
SBM	6	0.0395404	0.0383756	0.0407052
SBM	7	0.0396307	0.0385718	0.0406895
SBM	8	0.0396101	0.0386978	0.0405225
SBM	9	0.0406273	0.0398062	0.0414484
SBM	10	0.0407717	0.0399360	0.0416074
SBM	11	0.0411054	0.0404014	0.0418093
SBM	12	0.0413850	0.0406521	0.0421180
SBM	13	0.0409162	0.0400256	0.0418068
SBM	14	0.0415158	0.0407767	0.0422548
SBM	15	0.0417513	0.0409597	0.0425428
SBM	16	0.0417919	0.0411175	0.0424663
SBM	17	0.0420080	0.0414475	0.0425685
SBM	18	0.0417122	0.0409867	0.0424377
SBM	19	0.0421352	0.0414427	0.0428277
SBM	20	0.0425438	0.0418068	0.0432808
