	model	gen	abs_mean	abs95d	abs95u
0	BTER	1	0.0433490	0.0533324	0.0378332
1	BTER	2	0.0426908	0.0542724	0.0362919
2	BTER	3	0.0451290	0.0594631	0.0372094
3	BTER	4	0.0605815	0.0368928	0.0736694
4	BTER	5	0.0428190	0.0574046	0.0347604
5	BTER	6	0.0443728	0.0577225	0.0369972
6	BTER	7	0.0448235	0.0584397	0.0373005
7	BTER	8	0.0474865	0.0621507	0.0393846
8	BTER	9	0.0763410	0.0129311	0.1113749
9	BTER	10	0.0887392	0.0013637	0.1370141
10	BTER	11	0.0439385	0.0565330	0.0369800
11	BTER	12	0.0474632	0.0588871	0.0411515
12	BTER	13	0.0428198	0.0551850	0.0359880
13	BTER	14	0.0471098	0.0567837	0.0417650
14	BTER	15	0.0462737	0.0497483	0.0443540
15	BTER	16	0.0504740	0.0435090	0.0543221
16	BTER	17	0.0550075	0.0772844	0.0426996
17	BTER	18	0.0472395	0.0419575	0.0501578
18	BTER	19	0.0426275	0.0501337	0.0384804
19	BTER	20	0.0407141	0.0560051	0.0322658
