model	gen	abs_mean	abs95d	abs95u
BUGGE	1	0.1593593	0.1582696	0.1604490
BUGGE	2	0.1663598	0.1650787	0.1676409
BUGGE	3	0.1646584	0.1634396	0.1658773
BUGGE	4	0.1635140	0.1622662	0.1647619
BUGGE	5	0.1635493	0.1622233	0.1648753
BUGGE	6	0.1660265	0.1648504	0.1672026
BUGGE	7	0.1655571	0.1643762	0.1667380
BUGGE	8	0.1666365	0.1654801	0.1677928
BUGGE	9	0.1673202	0.1658983	0.1687420
BUGGE	10	0.1683817	0.1670203	0.1697431
BUGGE	11	0.1689451	0.1675517	0.1703385
BUGGE	12	0.1689029	0.1673719	0.1704339
BUGGE	13	0.1695807	0.1680795	0.1710819
BUGGE	14	0.1700115	0.1688649	0.1711582
BUGGE	15	0.1703198	0.1691313	0.1715083
BUGGE	16	0.1712999	0.1699089	0.1726909
BUGGE	17	0.1722293	0.1711545	0.1733040
BUGGE	18	0.1727938	0.1714629	0.1741247
BUGGE	19	0.1727161	0.1715856	0.1738467
BUGGE	20	0.1724731	0.1711473	0.1737988
