model	gen	abs_mean	abs95d	abs95u
CNRG	0	0.0000000	0.0000000	0.0000000
CNRG	1	1.0017587	1.0012136	1.0023038
CNRG	2	2.0033206	2.0027424	2.0038987
CNRG	3	3.0048364	3.0039740	3.0056989
CNRG	4	4.0066810	4.0057044	4.0076576
CNRG	5	5.0085499	5.0071931	5.0099068
CNRG	6	6.0097253	6.0080737	6.0113770
CNRG	7	7.0119624	7.0105004	7.0134245
CNRG	8	8.0130427	8.0114860	8.0145994
CNRG	9	9.0146935	9.0126666	9.0167204
CNRG	10	10.0171152	10.0141484	10.0200819
CNRG	11	11.0197178	11.0160697	11.0233659
CNRG	12	12.0197156	12.0162033	12.0232279
CNRG	13	13.0221225	13.0180784	13.0261665
CNRG	14	14.0255098	14.0212944	14.0297251
CNRG	15	15.0274679	15.0230161	15.0319198
CNRG	16	16.0273761	16.0224864	16.0322658
CNRG	17	17.0291451	17.0243054	17.0339848
CNRG	18	18.0309656	18.0251958	18.0367354
CNRG	19	19.0335226	19.0279928	19.0390524
CNRG	20	20.0348383	20.0283723	20.0413044
