model	gen	abs_mean	abs95d	abs95u
Chung-Lu	0	0.0000000	0.0000000	0.0000000
Chung-Lu	1	0.1649412	0.1598258	0.1700566
Chung-Lu	2	0.1650605	0.1609408	0.1691802
Chung-Lu	3	0.1532882	0.1461352	0.1604413
Chung-Lu	4	0.1448631	0.1366210	0.1531052
Chung-Lu	5	0.1409255	0.1336985	0.1481525
Chung-Lu	6	0.1363808	0.1287812	0.1439804
Chung-Lu	7	0.1411198	0.1339703	0.1482692
Chung-Lu	8	0.1303922	0.1233550	0.1374294
Chung-Lu	9	0.1194857	0.1100021	0.1289693
Chung-Lu	10	0.1210166	0.1133513	0.1286819
Chung-Lu	11	0.1186659	0.1084693	0.1288624
Chung-Lu	12	0.1201143	0.1121194	0.1281091
Chung-Lu	13	0.1101386	0.1011885	0.1190886
Chung-Lu	14	0.1016945	0.0924677	0.1109213
Chung-Lu	15	0.0904824	0.0811644	0.0998004
Chung-Lu	16	0.0868941	0.0762416	0.0975466
Chung-Lu	17	0.0999549	0.0923554	0.1075544
Chung-Lu	18	0.0912815	0.0818261	0.1007369
Chung-Lu	19	0.0940703	0.0858869	0.1022538
Chung-Lu	20	0.0821283	0.0727233	0.0915333
