model	gen	abs_mean	abs95d	abs95u
Erdos-Renyi	0	0.0000000	0.0000000	0.0000000
Erdos-Renyi	1	0.3313367	0.3306220	0.3320513
Erdos-Renyi	2	0.3316514	0.3307644	0.3325384
Erdos-Renyi	3	0.3320746	0.3311329	0.3330164
Erdos-Renyi	4	0.3312967	0.3301668	0.3324266
Erdos-Renyi	5	0.3313818	0.3302753	0.3324884
Erdos-Renyi	6	0.3313922	0.3301480	0.3326364
Erdos-Renyi	7	0.3314487	0.3299591	0.3329383
Erdos-Renyi	8	0.3317217	0.3300830	0.3333604
Erdos-Renyi	9	0.3310753	0.3294049	0.3327457
Erdos-Renyi	10	0.3310308	0.3292567	0.3328050
Erdos-Renyi	11	0.3312462	0.3295561	0.3329362
Erdos-Renyi	12	0.3314742	0.3295263	0.3334222
Erdos-Renyi	13	0.3312576	0.3293811	0.3331341
Erdos-Renyi	14	0.3310717	0.3291091	0.3330342
Erdos-Renyi	15	0.3316472	0.3296442	0.3336503
Erdos-Renyi	16	0.3310429	0.3287850	0.3333008
Erdos-Renyi	17	0.3309027	0.3287014	0.3331040
Erdos-Renyi	18	0.3307790	0.3283231	0.3332348
Erdos-Renyi	19	0.3311511	0.3286397	0.3336625
Erdos-Renyi	20	0.3308172	0.3284066	0.3332277
