	model	gen	abs_mean	abs95d	abs95u
0	GCN_AE	1	0.0478523	0.0438800	0.0517894
1	GCN_AE	2	0.0501831	0.0502603	0.0501066
2	GCN_AE	3	0.0501061	0.0503251	0.0498891
3	GCN_AE	4	0.0500973	0.0503026	0.0498938
4	GCN_AE	5	0.0501099	0.0503280	0.0498938
5	GCN_AE	6	0.0501051	0.0503095	0.0499026
6	GCN_AE	7	0.0501206	0.0503251	0.0499178
7	GCN_AE	8	0.0501288	0.0503275	0.0499318
8	GCN_AE	9	0.0501174	0.0503164	0.0499202
9	GCN_AE	10	0.0501072	0.0503296	0.0498868
10	GCN_AE	11	0.0501072	0.0503296	0.0498868
11	GCN_AE	12	0.0501072	0.0503296	0.0498868
12	GCN_AE	13	0.0501072	0.0503296	0.0498868
13	GCN_AE	14	0.0501072	0.0503296	0.0498868
14	GCN_AE	15	0.0501072	0.0503296	0.0498868
15	GCN_AE	16	0.0501072	0.0503296	0.0498868
16	GCN_AE	17	0.0501072	0.0503296	0.0498868
17	GCN_AE	18	0.0501072	0.0503296	0.0498868
18	GCN_AE	19	0.0501072	0.0503296	0.0498868
19	GCN_AE	20	0.0501072	0.0503296	0.0498868
