	model	gen	abs_mean	abs95d	abs95u
0	Linear_AE	1	0.0497620	0.0496840	0.0498400
1	Linear_AE	2	0.0499115	0.0498762	0.0499468
2	Linear_AE	3	0.0499997	0.0499953	0.0500040
3	Linear_AE	4	0.0500159	0.0500112	0.0500206
4	Linear_AE	5	0.0500161	0.0500187	0.0500134
5	Linear_AE	6	0.0500197	0.0500276	0.0500117
6	Linear_AE	7	0.0500197	0.0500276	0.0500117
7	Linear_AE	8	0.0500197	0.0500276	0.0500117
8	Linear_AE	9	0.0500197	0.0500276	0.0500117
9	Linear_AE	10	0.0500197	0.0500276	0.0500117
10	Linear_AE	11	0.0500197	0.0500276	0.0500117
11	Linear_AE	12	0.0500197	0.0500276	0.0500117
12	Linear_AE	13	0.0500197	0.0500276	0.0500117
13	Linear_AE	14	0.0500197	0.0500276	0.0500117
14	Linear_AE	15	0.0500197	0.0500276	0.0500117
15	Linear_AE	16	0.0500197	0.0500276	0.0500117
16	Linear_AE	17	0.0500197	0.0500276	0.0500117
17	Linear_AE	18	0.0500197	0.0500276	0.0500117
18	Linear_AE	19	0.0500197	0.0500276	0.0500117
19	Linear_AE	20	0.0500197	0.0500276	0.0500117
