model	gen	abs_mean	abs95d	abs95u
SBM	1	0.0506353	0.0527951	0.0488311
SBM	2	0.0501300	0.0515212	0.0489678
SBM	3	0.0467194	0.0465444	0.0468657
SBM	4	0.0459905	0.0454131	0.0464727
SBM	5	0.0497887	0.0501309	0.0495028
SBM	6	0.0516194	0.0525611	0.0508327
SBM	7	0.0499873	0.0503908	0.0496501
SBM	8	0.0506874	0.0511338	0.0503146
SBM	9	0.0504037	0.0504014	0.0504056
SBM	10	0.0506818	0.0504866	0.0508450
SBM	11	0.0497961	0.0490159	0.0504479
SBM	12	0.0513797	0.0513796	0.0513798
SBM	13	0.0494997	0.0487185	0.0501524
SBM	14	0.0528678	0.0537624	0.0521206
SBM	15	0.0497645	0.0485922	0.0507438
SBM	16	0.0484706	0.0469573	0.0497348
SBM	17	0.0530870	0.0537034	0.0525721
SBM	18	0.0476217	0.0462645	0.0487555
SBM	19	0.0509004	0.0506936	0.0510732
SBM	20	0.0499688	0.0495342	0.0503318
