model	gen	abs_mean	abs95d	abs95u
BUGGE	1	0.0029048	0.0025350	0.0032747
BUGGE	2	0.0032481	0.0029200	0.0035762
BUGGE	3	0.0038101	0.0035030	0.0041171
BUGGE	4	0.0037687	0.0034687	0.0040687
BUGGE	5	0.0035525	0.0032003	0.0039047
BUGGE	6	0.0034450	0.0031333	0.0037567
BUGGE	7	0.0033332	0.0029930	0.0036735
BUGGE	8	0.0033673	0.0030506	0.0036839
BUGGE	9	0.0035914	0.0032399	0.0039429
BUGGE	10	0.0037265	0.0033548	0.0040983
BUGGE	11	0.0034660	0.0031079	0.0038242
BUGGE	12	0.0034283	0.0031028	0.0037538
BUGGE	13	0.0036968	0.0033884	0.0040052
BUGGE	14	0.0036415	0.0033762	0.0039068
BUGGE	15	0.0035429	0.0031414	0.0039445
BUGGE	16	0.0035140	0.0031352	0.0038927
BUGGE	17	0.0034107	0.0030309	0.0037905
BUGGE	18	0.0033022	0.0029981	0.0036062
BUGGE	19	0.0029691	0.0026120	0.0033261
BUGGE	20	0.0030759	0.0027516	0.0034003
