model	gen	abs_mean	abs95d	abs95u
CNRG	1	0.0014800	0.0012484	0.0017115
CNRG	2	0.0024258	0.0021362	0.0027154
CNRG	3	0.0030286	0.0026708	0.0033864
CNRG	4	0.0034772	0.0031404	0.0038141
CNRG	5	0.0036936	0.0034076	0.0039797
CNRG	6	0.0038754	0.0035609	0.0041900
CNRG	7	0.0042394	0.0039120	0.0045669
CNRG	8	0.0041679	0.0038560	0.0044797
CNRG	9	0.0043201	0.0040160	0.0046243
CNRG	10	0.0044417	0.0040925	0.0047909
CNRG	11	0.0046022	0.0041913	0.0050130
CNRG	12	0.0047588	0.0043391	0.0051785
CNRG	13	0.0049250	0.0045020	0.0053480
CNRG	14	0.0050823	0.0046635	0.0055011
CNRG	15	0.0051189	0.0046961	0.0055417
CNRG	16	0.0049425	0.0045524	0.0053326
CNRG	17	0.0051401	0.0047133	0.0055669
CNRG	18	0.0050935	0.0047075	0.0054794
CNRG	19	0.0052331	0.0047932	0.0056729
CNRG	20	0.0052232	0.0047958	0.0056506
