model	gen	abs_mean	abs95d	abs95u
Chung-Lu	1	0.0003103	0.0003103	0.0003103
Chung-Lu	2	0.0003304	0.0002823	0.0003786
Chung-Lu	3	0.0003443	0.0002751	0.0004135
Chung-Lu	4	0.0003552	0.0002931	0.0004174
Chung-Lu	5	0.0003306	0.0002897	0.0003715
Chung-Lu	6	0.0003289	0.0002913	0.0003666
Chung-Lu	7	0.0003103	0.0003103	0.0003103
Chung-Lu	8	0.0003099	0.0003091	0.0003106
Chung-Lu	9	0.0003379	0.0002947	0.0003811
Chung-Lu	10	0.0003103	0.0003103	0.0003103
Chung-Lu	11	0.0003681	0.0002853	0.0004508
Chung-Lu	12	0.0003343	0.0002859	0.0003826
Chung-Lu	13	0.0003085	0.0003050	0.0003120
Chung-Lu	14	0.0003122	0.0003086	0.0003159
Chung-Lu	15	0.0003549	0.0002907	0.0004190
Chung-Lu	16	0.0003097	0.0002993	0.0003201
Chung-Lu	17	0.0003185	0.0002982	0.0003388
Chung-Lu	18	0.0003079	0.0003032	0.0003126
Chung-Lu	19	0.0003254	0.0002949	0.0003559
Chung-Lu	20	0.0003054	0.0002983	0.0003124
