model	gen	abs_mean	abs95d	abs95u
Erdos-Renyi	1	0.0499364	0.0504631	0.0494204
Erdos-Renyi	2	0.0513848	0.0486545	0.0540589
Erdos-Renyi	3	0.0496469	0.0495827	0.0497100
Erdos-Renyi	4	0.0499364	0.0504631	0.0494204
Erdos-Renyi	5	0.0509675	0.0494088	0.0524941
Erdos-Renyi	6	0.0499364	0.0504631	0.0494204
Erdos-Renyi	7	0.0499364	0.0504631	0.0494204
Erdos-Renyi	8	0.0499364	0.0504631	0.0494204
Erdos-Renyi	9	0.0501005	0.0502952	0.0499100
Erdos-Renyi	10	0.0499364	0.0504631	0.0494204
Erdos-Renyi	11	0.0499364	0.0504631	0.0494204
Erdos-Renyi	12	0.0499364	0.0504631	0.0494204
Erdos-Renyi	13	0.0492316	0.0483178	0.0501261
Erdos-Renyi	14	0.0499364	0.0504631	0.0494204
Erdos-Renyi	15	0.0499364	0.0504631	0.0494204
Erdos-Renyi	16	0.0504294	0.0499583	0.0508907
Erdos-Renyi	17	0.0499364	0.0504631	0.0494204
Erdos-Renyi	18	0.0490668	0.0477626	0.0503444
Erdos-Renyi	19	0.0499364	0.0504631	0.0494204
Erdos-Renyi	20	0.0499364	0.0504631	0.0494204
