model	gen	abs_mean	abs95d	abs95u
SBM	0	0.0000100	0.0000100	0.0000100
SBM	1	0.0003477	0.0003005	0.0003950
SBM	2	0.0004027	0.0003091	0.0004963
SBM	3	0.0005095	0.0002956	0.0007234
SBM	4	0.0005271	0.0002821	0.0007722
SBM	5	0.0005551	0.0002862	0.0008239
SBM	6	0.0006340	0.0003719	0.0008960
SBM	7	0.0005367	0.0003010	0.0007725
SBM	8	0.0004522	0.0003176	0.0005867
SBM	9	0.0004602	0.0002705	0.0006499
SBM	10	0.0006710	0.0002471	0.0010948
SBM	11	0.0004232	0.0003148	0.0005315
SBM	12	0.0003507	0.0002693	0.0004322
SBM	13	0.0004835	0.0002279	0.0007392
SBM	14	0.0004078	0.0002809	0.0005346
SBM	15	0.0004727	0.0002197	0.0007258
SBM	16	0.0004049	0.0002139	0.0005960
SBM	17	0.0003997	0.0002188	0.0005805
SBM	18	0.0003907	0.0002159	0.0005656
SBM	19	0.0004029	0.0001908	0.0006150
SBM	20	0.0004404	0.0001778	0.0007030
