model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
BTER	1	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
BTER	2	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
BTER	3	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
BTER	4	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
BTER	5	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
BTER	6	0.0007857	0.0012104	0.0003610	0.0007857	0.0012104	0.0003610
BTER	7	0.0036429	0.0037864	0.0034993	0.0028571	0.0033157	0.0023986
BTER	8	0.0035714	0.0035714	0.0035714	0.0000714	0.0002150	-0.0000721
BTER	9	0.0035714	0.0035714	0.0035714	0.0000000	0.0000000	0.0000000
BTER	10	0.0035714	0.0035714	0.0035714	0.0000000	0.0000000	0.0000000
BTER	11	0.0035714	0.0035714	0.0035714	0.0000000	0.0000000	0.0000000
BTER	12	0.0035714	0.0035714	0.0035714	0.0000000	0.0000000	0.0000000
BTER	13	0.0037143	0.0039152	0.0035134	0.0001429	0.0003438	-0.0000581
BTER	14	0.0035714	0.0035714	0.0035714	0.0001429	0.0003438	-0.0000581
BTER	15	0.0036429	0.0037864	0.0034993	0.0000714	0.0002150	-0.0000721
BTER	16	0.0037143	0.0039152	0.0035134	0.0000714	0.0002150	-0.0000721
BTER	17	0.0036429	0.0037864	0.0034993	0.0000714	0.0002150	-0.0000721
BTER	18	0.0036429	0.0037864	0.0034993	0.0000000	0.0000000	0.0000000
BTER	19	0.0036429	0.0037864	0.0034993	0.0000000	0.0000000	0.0000000
BTER	20	0.0035714	0.0035714	0.0035714	0.0000714	0.0002150	-0.0000721
