	model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
0	BUGGE	1	0.0550000	0.0578116	0.0521884	0.0550000	0.0578116	0.0521884
1	BUGGE	2	0.0547857	0.0578997	0.0516717	0.0126429	0.0161361	0.0091496
2	BUGGE	3	0.0480000	0.0511579	0.0448421	0.0102857	0.0131318	0.0074396
3	BUGGE	4	0.0444286	0.0477169	0.0411402	0.0158571	0.0209307	0.0107836
4	BUGGE	5	0.0427857	0.0466137	0.0389577	0.0169286	0.0210797	0.0127774
5	BUGGE	6	0.0425714	0.0453366	0.0398063	0.0140000	0.0170884	0.0109116
6	BUGGE	7	0.0470714	0.0520468	0.0420961	0.0159286	0.0203228	0.0115343
7	BUGGE	8	0.0410000	0.0432948	0.0387052	0.0155000	0.0197404	0.0112596
8	BUGGE	9	0.0427857	0.0455176	0.0400538	0.0145000	0.0176462	0.0113538
9	BUGGE	10	0.0445714	0.0479173	0.0412255	0.0100714	0.0124776	0.0076652
10	BUGGE	11	0.0493571	0.0548735	0.0438408	0.0161429	0.0206831	0.0116026
11	BUGGE	12	0.0460714	0.0492432	0.0428996	0.0150000	0.0186625	0.0113375
12	BUGGE	13	0.0457857	0.0485345	0.0430369	0.0135714	0.0162293	0.0109136
13	BUGGE	14	0.0431429	0.0456780	0.0406077	0.0104286	0.0130130	0.0078442
14	BUGGE	15	0.0490714	0.0532327	0.0449102	0.0142143	0.0171033	0.0113253
15	BUGGE	16	0.0445000	0.0475012	0.0414988	0.0165714	0.0211830	0.0119598
16	BUGGE	17	0.0471429	0.0512389	0.0430468	0.0132143	0.0158741	0.0105544
17	BUGGE	18	0.0453571	0.0490496	0.0416647	0.0136429	0.0169727	0.0103130
18	BUGGE	19	0.0448571	0.0479950	0.0417193	0.0159286	0.0197330	0.0121241
19	BUGGE	20	0.0477857	0.0523933	0.0431781	0.0179286	0.0218219	0.0140352
