model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
Erdos-Renyi	1	0.0946429	0.0961808	0.0931049	0.0946429	0.0961808	0.0931049
Erdos-Renyi	2	0.0948571	0.0963939	0.0933204	0.0015000	0.0020060	0.0010000
Erdos-Renyi	3	0.0959286	0.0974216	0.0944356	0.0012143	0.0017000	0.0010000
Erdos-Renyi	4	0.0957143	0.0972212	0.0942074	0.0019286	0.0024396	0.0014176
Erdos-Renyi	5	0.0931429	0.0946193	0.0916664	0.0015714	0.0020804	0.0010625
Erdos-Renyi	6	0.0948571	0.0963939	0.0933204	0.0018571	0.0023694	0.0013449
Erdos-Renyi	7	0.0955000	0.0970181	0.0939819	0.0016429	0.0021539	0.0011319
Erdos-Renyi	8	0.0942143	0.0957473	0.0926813	0.0015714	0.0020804	0.0010625
Erdos-Renyi	9	0.0957143	0.0972212	0.0942074	0.0017857	0.0022984	0.0012731
Erdos-Renyi	10	0.0950714	0.0966044	0.0935384	0.0023571	0.0028428	0.0018715
Erdos-Renyi	11	0.0933571	0.0948501	0.0918642	0.0021429	0.0026451	0.0016406
Erdos-Renyi	12	0.0952857	0.0968125	0.0937589	0.0019286	0.0024396	0.0014176
Erdos-Renyi	13	0.0952857	0.0968125	0.0937589	0.0017143	0.0022265	0.0012020
Erdos-Renyi	14	0.0948571	0.0963939	0.0933204	0.0018571	0.0023694	0.0013449
Erdos-Renyi	15	0.0944286	0.0959653	0.0928919	0.0018571	0.0023694	0.0013449
Erdos-Renyi	16	0.0940000	0.0955268	0.0924732	0.0015714	0.0020804	0.0010625
Erdos-Renyi	17	0.0955000	0.0970181	0.0939819	0.0017857	0.0022984	0.0012731
Erdos-Renyi	18	0.0948571	0.0963939	0.0933204	0.0017857	0.0022984	0.0012731
Erdos-Renyi	19	0.0937857	0.0953038	0.0922676	0.0017857	0.0022984	0.0012731
Erdos-Renyi	20	0.0942143	0.0957473	0.0926813	0.0015714	0.0020804	0.0010625
