model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
HRG	1	0.0187857	0.0220267	0.0155447	0.0187857	0.0220267	0.0155447
HRG	2	0.0331429	0.0375027	0.0287831	0.0127143	0.0161770	0.0092515
HRG	3	0.0452143	0.0490264	0.0414021	0.0145000	0.0180953	0.0109047
HRG	4	0.0533571	0.0617154	0.0449989	0.0118571	0.0169854	0.0067289
HRG	5	0.0535000	0.0608062	0.0461938	0.0121429	0.0163503	0.0079354
HRG	6	0.0528777	0.0595251	0.0462303	0.0123752	0.0161179	0.0086325
HRG	7	0.0528063	0.0592163	0.0463962	0.0095714	0.0128997	0.0062432
HRG	8	0.0470205	0.0546978	0.0393433	0.0112152	0.0149406	0.0074898
HRG	9	0.0443715	0.0546501	0.0340930	0.0097797	0.0129638	0.0065955
HRG	10	0.0391533	0.0487562	0.0295505	0.0077222	0.0106328	0.0048117
HRG	11	0.0385819	0.0482894	0.0288744	0.0048571	0.0070443	0.0026700
HRG	12	0.0335819	0.0432072	0.0239566	0.0055714	0.0079019	0.0032410
HRG	13	0.0332962	0.0430332	0.0235591	0.0032143	0.0044658	0.0019628
HRG	14	0.0313676	0.0411497	0.0215855	0.0027143	0.0042835	0.0011451
HRG	15	0.0327247	0.0424962	0.0229533	0.0040714	0.0061526	0.0019902
HRG	16	0.0302962	0.0401958	0.0203965	0.0036429	0.0056149	0.0016708
HRG	17	0.0280819	0.0378379	0.0183259	0.0028571	0.0050562	0.0010000
HRG	18	0.0300105	0.0396797	0.0203412	0.0027857	0.0048998	0.0010000
HRG	19	0.0281533	0.0377280	0.0185787	0.0035000	0.0049856	0.0020144
HRG	20	0.0267247	0.0361926	0.0172568	0.0030000	0.0048834	0.0011166
