	model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
0	SBM	1	0.0178571	0.0178571	0.0178571	0.0178571	0.0178571	0.0178571
1	SBM	2	0.0190714	0.0195571	0.0185857	0.0012143	0.0017000	0.0007286
2	SBM	3	0.0200714	0.0205691	0.0195738	0.0011429	0.0016211	0.0006646
3	SBM	4	0.0208571	0.0212330	0.0204813	0.0007857	0.0012104	0.0003610
4	SBM	5	0.0212143	0.0214578	0.0209708	0.0003571	0.0006647	0.0000496
5	SBM	6	0.0215714	0.0220281	0.0211147	0.0002143	0.0004578	-0.0000292
6	SBM	7	0.0219286	0.0226961	0.0211610	0.0003571	0.0006647	0.0000496
7	SBM	8	0.0228571	0.0239422	0.0217721	0.0005000	0.0008558	0.0001442
8	SBM	9	0.0237857	0.0250599	0.0225115	0.0005000	0.0008558	0.0001442
9	SBM	10	0.0248571	0.0262920	0.0234223	0.0003571	0.0006647	0.0000496
10	SBM	11	0.0261429	0.0276697	0.0246160	0.0005714	0.0009473	0.0001955
11	SBM	12	0.0270714	0.0286343	0.0255085	0.0003571	0.0006647	0.0000496
12	SBM	13	0.0283571	0.0298558	0.0268585	0.0004286	0.0007618	0.0000954
13	SBM	14	0.0290000	0.0304301	0.0275699	0.0002143	0.0004578	-0.0000292
14	SBM	15	0.0293571	0.0307968	0.0279175	0.0003571	0.0006647	0.0000496
15	SBM	16	0.0298571	0.0312443	0.0284700	0.0002143	0.0004578	-0.0000292
16	SBM	17	0.0305714	0.0318382	0.0293047	0.0002857	0.0005639	0.0000076
17	SBM	18	0.0311429	0.0323215	0.0299642	0.0004286	0.0007618	0.0000954
18	SBM	19	0.0312857	0.0324912	0.0300802	0.0002857	0.0005639	0.0000076
19	SBM	20	0.0312857	0.0324912	0.0300802	0.0002857	0.0005639	0.0000076
