model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
BTER	1	0.0134510	0.0139015	0.0130005	0.0134510	0.0139015	0.0130005
BTER	2	0.0132006	0.0136920	0.0127092	0.0007857	0.0012104	0.0003610
BTER	3	0.0135941	0.0140648	0.0131234	0.0005000	0.0008558	0.0001442
BTER	4	0.0141308	0.0149978	0.0132638	0.0009286	0.0014228	0.0004343
BTER	5	0.0138446	0.0147905	0.0128987	0.0012143	0.0017800	0.0006486
BTER	6	0.0139161	0.0150612	0.0127710	0.0007143	0.0011728	0.0002558
BTER	7	0.0134868	0.0141541	0.0128195	0.0010000	0.0015814	0.0004186
BTER	8	0.0142024	0.0156122	0.0127925	0.0014286	0.0020770	0.0007801
BTER	9	0.0138804	0.0150585	0.0127022	0.0010714	0.0016236	0.0005193
BTER	10	0.0135584	0.0148209	0.0122958	0.0009286	0.0013783	0.0004788
BTER	11	0.0134152	0.0144937	0.0123368	0.0011429	0.0016632	0.0006225
BTER	12	0.0141308	0.0153472	0.0129144	0.0011429	0.0016632	0.0006225
BTER	13	0.0139161	0.0151920	0.0126403	0.0010714	0.0015841	0.0005588
BTER	14	0.0142024	0.0155781	0.0128266	0.0012143	0.0018500	0.0005786
BTER	15	0.0138804	0.0152795	0.0124812	0.0008571	0.0013823	0.0003319
BTER	16	0.0139161	0.0151920	0.0126403	0.0004286	0.0007618	0.0000954
BTER	17	0.0135941	0.0148267	0.0123616	0.0014286	0.0021679	0.0006892
BTER	18	0.0140950	0.0154407	0.0127494	0.0014286	0.0022228	0.0006344
BTER	19	0.0139877	0.0153607	0.0126147	0.0011429	0.0018054	0.0004803
BTER	20	0.0144886	0.0159529	0.0130242	0.0015000	0.0022130	0.0007870
