	model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
0	BUGGE	1	0.1791400	0.1809250	0.1773550	0.1791400	0.1809250	0.1773550
1	BUGGE	2	0.1880846	0.1939194	0.1822498	0.0082143	0.0114840	0.0049446
2	BUGGE	3	0.1823958	0.1844907	0.1803010	0.0081429	0.0115805	0.0047052
3	BUGGE	4	0.1823601	0.1852404	0.1794797	0.0060000	0.0077692	0.0042308
4	BUGGE	5	0.1836838	0.1864061	0.1809616	0.0061429	0.0079073	0.0043784
5	BUGGE	6	0.1809289	0.1826961	0.1791618	0.0061429	0.0083422	0.0039435
6	BUGGE	7	0.1815014	0.1843887	0.1786140	0.0060000	0.0082504	0.0037496
7	BUGGE	8	0.1855801	0.1883224	0.1828378	0.0065714	0.0084880	0.0046548
8	BUGGE	9	0.1866177	0.1923350	0.1809003	0.0095714	0.0132479	0.0058950
9	BUGGE	10	0.1827536	0.1853690	0.1801382	0.0077857	0.0109405	0.0046309
10	BUGGE	11	0.1835765	0.1862606	0.1808924	0.0067857	0.0089679	0.0046035
11	BUGGE	12	0.1821096	0.1842641	0.1799551	0.0074286	0.0104690	0.0043882
12	BUGGE	13	0.1843279	0.1877805	0.1808752	0.0076429	0.0094999	0.0057859
13	BUGGE	14	0.1855443	0.1897027	0.1813860	0.0097143	0.0127003	0.0067283
14	BUGGE	15	0.1856516	0.1890541	0.1822492	0.0100000	0.0130963	0.0069037
15	BUGGE	16	0.1836481	0.1865922	0.1807039	0.0091429	0.0120943	0.0061914
16	BUGGE	17	0.1841490	0.1868183	0.1814796	0.0097857	0.0121130	0.0074584
17	BUGGE	18	0.1817876	0.1836616	0.1799136	0.0055714	0.0074526	0.0036902
18	BUGGE	19	0.1866534	0.1910935	0.1822134	0.0078571	0.0098240	0.0058903
19	BUGGE	20	0.1874048	0.1925656	0.1822440	0.0117143	0.0152066	0.0082220
