model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
Erdos-Renyi	1	0.1184222	0.1245705	0.1122740	0.1184222	0.1245705	0.1122740
Erdos-Renyi	2	0.1177733	0.1241168	0.1114298	0.0050084	0.0065091	0.0035077
Erdos-Renyi	3	0.1157980	0.1220564	0.1095395	0.0052406	0.0066165	0.0038647
Erdos-Renyi	4	0.1156308	0.1216068	0.1096548	0.0054734	0.0067914	0.0041555
Erdos-Renyi	5	0.1191385	0.1251802	0.1130967	0.0045259	0.0057674	0.0032844
Erdos-Renyi	6	0.1164111	0.1225928	0.1102293	0.0044538	0.0058718	0.0030359
Erdos-Renyi	7	0.1161942	0.1224706	0.1099178	0.0045248	0.0058601	0.0031895
Erdos-Renyi	8	0.1212131	0.1271738	0.1152525	0.0055983	0.0069082	0.0042885
Erdos-Renyi	9	0.1199603	0.1256289	0.1142918	0.0037923	0.0049459	0.0026387
Erdos-Renyi	10	0.1152966	0.1213934	0.1091998	0.0044359	0.0056565	0.0032153
Erdos-Renyi	11	0.1162294	0.1222116	0.1102473	0.0057765	0.0070363	0.0045167
Erdos-Renyi	12	0.1126533	0.1189430	0.1063636	0.0055804	0.0069797	0.0041812
Erdos-Renyi	13	0.1155843	0.1218167	0.1093519	0.0047216	0.0060752	0.0033680
Erdos-Renyi	14	0.1171960	0.1233727	0.1110194	0.0056877	0.0071234	0.0042519
Erdos-Renyi	15	0.1194943	0.1256849	0.1133036	0.0047040	0.0060428	0.0033653
Erdos-Renyi	16	0.1124026	0.1185508	0.1062544	0.0053839	0.0067312	0.0040365
Erdos-Renyi	17	0.1197822	0.1261081	0.1134563	0.0055093	0.0068653	0.0041532
Erdos-Renyi	18	0.1150555	0.1213648	0.1087463	0.0064757	0.0078174	0.0051339
Erdos-Renyi	19	0.1178493	0.1239946	0.1117039	0.0037566	0.0049849	0.0025283
Erdos-Renyi	20	0.1163031	0.1224886	0.1101175	0.0030231	0.0042566	0.0017896
