model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
BTER	1	0.0148571	0.0155483	0.0141660	0.0148571	0.0155483	0.0141660
BTER	2	0.0185714	0.0191866	0.0179563	0.0124286	0.0132291	0.0116281
BTER	3	0.0320000	0.0328192	0.0311808	0.0063571	0.0069108	0.0058035
BTER	4	0.0342857	0.0349658	0.0336056	0.0024286	0.0031803	0.0016768
BTER	5	0.0359286	0.0367335	0.0351236	0.0024286	0.0031803	0.0016768
BTER	6	0.0344286	0.0353167	0.0335404	0.0025714	0.0032212	0.0019217
BTER	7	0.0328571	0.0334723	0.0322420	0.0015714	0.0021572	0.0009857
BTER	8	0.0342857	0.0352254	0.0333460	0.0011429	0.0016211	0.0006646
BTER	9	0.0377143	0.0385637	0.0368648	0.0018571	0.0024089	0.0013054
BTER	10	0.0397143	0.0403510	0.0390776	0.0018571	0.0025746	0.0011397
BTER	11	0.0395714	0.0399733	0.0391696	0.0005000	0.0009106	0.0000894
BTER	12	0.0392857	0.0392857	0.0392857	0.0001429	0.0003438	-0.0000581
BTER	13	0.0392857	0.0392857	0.0392857	0.0010000	0.0010000	0.0010000
BTER	14	0.0394286	0.0397157	0.0391415	0.0000714	0.0002150	-0.0000721
BTER	15	0.0392857	0.0392857	0.0392857	0.0000714	0.0002150	-0.0000721
BTER	16	0.0392857	0.0392857	0.0392857	0.0010000	0.0010000	0.0010000
BTER	17	0.0392857	0.0392857	0.0392857	0.0010000	0.0010000	0.0010000
BTER	18	0.0392857	0.0392857	0.0392857	0.0010000	0.0010000	0.0010000
BTER	19	0.0392857	0.0392857	0.0392857	0.0010000	0.0010000	0.0010000
BTER	20	0.0392857	0.0392857	0.0392857	0.0010000	0.0010000	0.0010000
