	model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
0	BUGGE	1	0.1248571	0.1301529	0.1195614	0.1248571	0.1301529	0.1195614
1	BUGGE	2	0.1207857	0.1244118	0.1171597	0.0105000	0.0138027	0.0071973
2	BUGGE	3	0.1191429	0.1229943	0.1152915	0.0091429	0.0110240	0.0072617
3	BUGGE	4	0.1210197	0.1252338	0.1168056	0.0093036	0.0111872	0.0074199
4	BUGGE	5	0.1210714	0.1254032	0.1167396	0.0090893	0.0108486	0.0073300
5	BUGGE	6	0.1215714	0.1262293	0.1169136	0.0131429	0.0158121	0.0104736
6	BUGGE	7	0.1220714	0.1269227	0.1172202	0.0122143	0.0156339	0.0087947
7	BUGGE	8	0.1208571	0.1251160	0.1165982	0.0120714	0.0153836	0.0087593
8	BUGGE	9	0.1207143	0.1254172	0.1160113	0.0092143	0.0111821	0.0072465
9	BUGGE	10	0.1209127	0.1253840	0.1164415	0.0107322	0.0131348	0.0083295
10	BUGGE	11	0.1221429	0.1269300	0.1173557	0.0090180	0.0113211	0.0067149
11	BUGGE	12	0.1235714	0.1288951	0.1182478	0.0113571	0.0141136	0.0086007
12	BUGGE	13	0.1242857	0.1298033	0.1187681	0.0102857	0.0130341	0.0075373
13	BUGGE	14	0.1219286	0.1268286	0.1170285	0.0108571	0.0133849	0.0083293
14	BUGGE	15	0.1211429	0.1255161	0.1167696	0.0104286	0.0125481	0.0083090
15	BUGGE	16	0.1200000	0.1239069	0.1160931	0.0112857	0.0134786	0.0090928
16	BUGGE	17	0.1217857	0.1264674	0.1171040	0.0112143	0.0135524	0.0088762
17	BUGGE	18	0.1190714	0.1229492	0.1151936	0.0088571	0.0108792	0.0068351
18	BUGGE	19	0.1182143	0.1221813	0.1142473	0.0099286	0.0130940	0.0067632
19	BUGGE	20	0.1173571	0.1210197	0.1136946	0.0087857	0.0113239	0.0062475
