model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
CNRG	1	0.0071429	0.0071429	0.0071429	0.0071429	0.0071429	0.0071429
CNRG	2	0.0141429	0.0156067	0.0126790	0.0067857	0.0081186	0.0054528
CNRG	3	0.0322857	0.0334267	0.0311447	0.0135714	0.0148844	0.0122584
CNRG	4	0.0451429	0.0459307	0.0443550	0.0072143	0.0079674	0.0064611
CNRG	5	0.0635714	0.0660064	0.0611365	0.0062857	0.0072597	0.0053117
CNRG	6	0.0775000	0.0784228	0.0765772	0.0056429	0.0066903	0.0045955
CNRG	7	0.0785714	0.0785714	0.0785714	0.0010000	0.0010000	0.0010000
CNRG	8	0.0868571	0.0888813	0.0848330	0.0020714	0.0025775	0.0015654
CNRG	9	0.0954286	0.0974277	0.0934295	0.0020000	0.0025089	0.0014911
CNRG	10	0.1060714	0.1083201	0.1038228	0.0021429	0.0026451	0.0016406
CNRG	11	0.1125000	0.1139680	0.1110320	0.0015714	0.0020804	0.0010625
CNRG	12	0.1175714	0.1190479	0.1160950	0.0016429	0.0021539	0.0011319
CNRG	13	0.1199286	0.1209959	0.1188613	0.0010000	0.0012104	0.0010000
CNRG	14	0.1217857	0.1227085	0.1208630	0.0010000	0.0010000	0.0010000
CNRG	15	0.1231429	0.1244756	0.1218101	0.0010000	0.0010000	0.0010000
CNRG	16	0.1274286	0.1294527	0.1254044	0.0010714	0.0015413	0.0010000
CNRG	17	0.1314286	0.1333080	0.1295492	0.0010000	0.0014604	0.0010000
CNRG	18	0.1337143	0.1351373	0.1322912	0.0010000	0.0011244	0.0010000
CNRG	19	0.1348571	0.1358311	0.1338832	0.0010000	0.0010000	0.0010000
CNRG	20	0.1351429	0.1359465	0.1343392	0.0010000	0.0010000	0.0010000
