model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
Chung-Lu	1	0.0213571	0.0215007	0.0212136	0.0213571	0.0215007	0.0212136
Chung-Lu	2	0.0298571	0.0306450	0.0290693	0.0042857	0.0046958	0.0038756
Chung-Lu	3	0.0427143	0.0430014	0.0424272	0.0064286	0.0068387	0.0060185
Chung-Lu	4	0.0428571	0.0428571	0.0428571	0.0000714	0.0002150	-0.0000721
Chung-Lu	5	0.0560714	0.0585428	0.0536001	0.0032143	0.0039021	0.0025265
Chung-Lu	6	0.0678571	0.0678571	0.0678571	0.0075000	0.0081878	0.0068122
Chung-Lu	7	0.0678571	0.0678571	0.0678571	0.1000000	0.1000000	0.1000000
Chung-Lu	8	0.0678571	0.0678571	0.0678571	0.1000000	0.1000000	0.1000000
Chung-Lu	9	0.0678571	0.0678571	0.0678571	0.1000000	0.1000000	0.1000000
Chung-Lu	10	0.0785714	0.0785714	0.0785714	0.0035714	0.0035714	0.0035714
Chung-Lu	11	0.0785714	0.0785714	0.0785714	0.1000000	0.1000000	0.1000000
Chung-Lu	12	0.0920000	0.0929740	0.0910260	0.0033571	0.0036006	0.0031136
Chung-Lu	13	0.0928571	0.0928571	0.0928571	0.0002143	0.0004578	-0.0000292
Chung-Lu	14	0.1039286	0.1064169	0.1014403	0.0022143	0.0027119	0.0017166
Chung-Lu	15	0.1107143	0.1107143	0.1107143	0.0013571	0.0018548	0.0008595
Chung-Lu	16	0.1107143	0.1107143	0.1107143	0.1000000	0.1000000	0.1000000
Chung-Lu	17	0.1109286	0.1113592	0.1104979	0.0000714	0.0002150	-0.0000721
Chung-Lu	18	0.1143571	0.1158142	0.1129001	0.0011429	0.0016211	0.0006646
Chung-Lu	19	0.1212143	0.1216449	0.1207837	0.0022857	0.0027779	0.0017936
Chung-Lu	20	0.1214286	0.1214286	0.1214286	0.0000714	0.0002150	-0.0000721
