	model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
0	GCN_AE	1	0.3005000	0.3066791	0.2943209	0.3005000	0.3066791	0.2943209
1	GCN_AE	2	0.7295850	0.7594716	0.6996984	0.2346488	0.2603988	0.2088988
2	GCN_AE	3	0.8499198	0.9273445	0.7724951	0.1380004	0.2028892	0.0731116
3	GCN_AE	4	0.8761390	0.9488879	0.8033901	0.0092864	0.0167938	0.0017790
4	GCN_AE	5	0.9610422	1.0449890	0.8770954	0.0966851	0.1581360	0.0352342
5	GCN_AE	6	0.9783824	1.0607952	0.8959696	0.0135330	0.0381344	-0.0110684
6	GCN_AE	7	1.0109514	1.0945981	0.9273047	0.0388910	0.0808489	-0.0030669
7	GCN_AE	8	1.0213376	1.1051349	0.9375402	0.0116252	0.0349869	-0.0117365
8	GCN_AE	9	1.0216235	1.1053356	0.9379115	0.0001431	0.0003444	-0.0000582
9	GCN_AE	10	1.0218380	1.1054794	0.9381966	0.0000716	0.0002154	-0.0000722
10	GCN_AE	11	1.0218380	1.1054794	0.9381966	0.0000000	0.0000000	0.0000000
11	GCN_AE	12	1.0332250	1.1166229	0.9498272	0.0136026	0.0409380	-0.0137328
12	GCN_AE	13	1.0446836	1.1276854	0.9616817	0.0129435	0.0389543	-0.0130674
13	GCN_AE	14	1.0446836	1.1276854	0.9616817	0.0000000	0.0000000	0.0000000
14	GCN_AE	15	1.0448981	1.1278321	0.9619640	0.0000716	0.0002154	-0.0000722
15	GCN_AE	16	1.0446836	1.1276854	0.9616817	0.0000716	0.0002154	-0.0000722
16	GCN_AE	17	1.0446836	1.1276854	0.9616817	0.0000000	0.0000000	0.0000000
17	GCN_AE	18	1.0446836	1.1276854	0.9616817	0.0000000	0.0000000	0.0000000
18	GCN_AE	19	1.0446836	1.1276854	0.9616817	0.0000000	0.0000000	0.0000000
19	GCN_AE	20	1.0446836	1.1276854	0.9616817	0.0000000	0.0000000	0.0000000
