model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
Linear_AE	1	0.2491429	0.2505421	0.2477436	0.2491429	0.2505421	0.2477436
Linear_AE	2	0.3542857	0.3609556	0.3476158	0.0852857	0.0874033	0.0831681
Linear_AE	3	0.6904337	0.7012031	0.6796642	0.1216073	0.1269934	0.1162211
Linear_AE	4	0.6983019	0.7015858	0.6950181	0.0035926	0.0065634	0.0006217
Linear_AE	5	0.7015906	0.7059456	0.6972356	0.0004293	0.0008213	0.0000374
Linear_AE	6	0.7083824	0.7153215	0.7014432	0.0012165	0.0019459	0.0004870
Linear_AE	7	0.7189632	0.7294986	0.7084279	0.0049374	0.0115331	-0.0016583
Linear_AE	8	0.7337861	0.7598856	0.7076867	0.0109556	0.0252992	-0.0033880
Linear_AE	9	0.7449545	0.7782177	0.7116914	0.0060119	0.0168899	-0.0048661
Linear_AE	10	0.7443111	0.7776321	0.7109900	0.0002147	0.0004586	-0.0000293
Linear_AE	11	0.7453835	0.7787791	0.7119878	0.0002147	0.0006461	-0.0002167
Linear_AE	12	0.7453835	0.7787791	0.7119878	0.1000000	0.1000000	0.1000000
Linear_AE	13	0.7453835	0.7787791	0.7119878	0.1000000	0.1000000	0.1000000
Linear_AE	14	0.7453835	0.7787791	0.7119878	0.1000000	0.1000000	0.1000000
Linear_AE	15	0.7453835	0.7787791	0.7119878	0.1000000	0.1000000	0.1000000
Linear_AE	16	0.7453835	0.7787791	0.7119878	0.1000000	0.1000000	0.1000000
Linear_AE	17	0.7455979	0.7790252	0.7121707	0.0000716	0.0002154	-0.0000722
Linear_AE	18	0.7551977	0.7951014	0.7152939	0.0116252	0.0349869	-0.0117365
Linear_AE	19	0.7551977	0.7951014	0.7152939	0.1000000	0.1000000	0.1000000
Linear_AE	20	0.7546257	0.7945144	0.7147370	0.0000716	0.0002154	-0.0000722
