model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
SBM	1	0.0357143	0.0357143	0.0357143	0.0357143	0.0357143	0.0357143
SBM	2	0.0368571	0.0376089	0.0361054	0.0010000	0.0010000	0.0010000
SBM	3	0.0377143	0.0386350	0.0367936	0.0010000	0.0011244	0.0010000
SBM	4	0.0382857	0.0392700	0.0373014	0.0010000	0.0010000	0.0010000
SBM	5	0.0392857	0.0403110	0.0382604	0.0010000	0.0010368	0.0010000
SBM	6	0.0398571	0.0408692	0.0388451	0.0010000	0.0010000	0.0010000
SBM	7	0.0394286	0.0404530	0.0384041	0.0010000	0.0010000	0.0010000
SBM	8	0.0395714	0.0405934	0.0385494	0.0010000	0.0010000	0.0010000
SBM	9	0.0400714	0.0411027	0.0390402	0.0010000	0.0010000	0.0010000
SBM	10	0.0407143	0.0422488	0.0391798	0.0010000	0.0010000	0.0010000
SBM	11	0.0415000	0.0434115	0.0395885	0.0010000	0.0010000	0.0010000
SBM	12	0.0422143	0.0443324	0.0400962	0.0010000	0.0010000	0.0010000
SBM	13	0.0433571	0.0459102	0.0408041	0.0010000	0.0010000	0.0010000
SBM	14	0.0437143	0.0465376	0.0408910	0.0010000	0.0012573	0.0010000
SBM	15	0.0435714	0.0462918	0.0408510	0.0010000	0.0010027	0.0010000
SBM	16	0.0445714	0.0473244	0.0418184	0.0010000	0.0012104	0.0010000
SBM	17	0.0462143	0.0494004	0.0430282	0.0010000	0.0014571	0.0010000
SBM	18	0.0488571	0.0524526	0.0452617	0.0011429	0.0019486	0.0010000
SBM	19	0.0512857	0.0548063	0.0477651	0.0017143	0.0025406	0.0010000
SBM	20	0.0514286	0.0550390	0.0478181	0.0014286	0.0022986	0.0010000
