model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
Erdos-Renyi	1	0.1447143	0.1467049	0.1427236	0.1447143	0.1467049	0.1427236
Erdos-Renyi	2	0.1452857	0.1473099	0.1432615	0.0018571	0.0023694	0.0013449
Erdos-Renyi	3	0.1481429	0.1501335	0.1461522	0.0017143	0.0022265	0.0012020
Erdos-Renyi	4	0.1444286	0.1463971	0.1424600	0.0017857	0.0022984	0.0012731
Erdos-Renyi	5	0.1458571	0.1479012	0.1438131	0.0016429	0.0021539	0.0011319
Erdos-Renyi	6	0.1475714	0.1495956	0.1455473	0.0017143	0.0022265	0.0012020
Erdos-Renyi	7	0.1455714	0.1476072	0.1435357	0.0016429	0.0021539	0.0011319
Erdos-Renyi	8	0.1455714	0.1476072	0.1435357	0.0017143	0.0022265	0.0012020
Erdos-Renyi	9	0.1455714	0.1476072	0.1435357	0.0020000	0.0025089	0.0014911
Erdos-Renyi	10	0.1470000	0.1490440	0.1449560	0.0020714	0.0025775	0.0015654
Erdos-Renyi	11	0.1461429	0.1481918	0.1440939	0.0019286	0.0024396	0.0014176
Erdos-Renyi	12	0.1450000	0.1470092	0.1429908	0.0018571	0.0023694	0.0013449
Erdos-Renyi	13	0.1464286	0.1484792	0.1443780	0.0020714	0.0025775	0.0015654
Erdos-Renyi	14	0.1452857	0.1473099	0.1432615	0.0020000	0.0025089	0.0014911
Erdos-Renyi	15	0.1472857	0.1493215	0.1452499	0.0019286	0.0024396	0.0014176
Erdos-Renyi	16	0.1472857	0.1493215	0.1452499	0.0017143	0.0022265	0.0012020
Erdos-Renyi	17	0.1464286	0.1484792	0.1443780	0.0019286	0.0024396	0.0014176
Erdos-Renyi	18	0.1467143	0.1487632	0.1446653	0.0019286	0.0024396	0.0014176
Erdos-Renyi	19	0.1458571	0.1479012	0.1438131	0.0016429	0.0021539	0.0011319
Erdos-Renyi	20	0.1475714	0.1495956	0.1455473	0.0017143	0.0022265	0.0012020
