model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
SBM	1	0.0318571	0.0321353	0.0315790	0.0318571	0.0321353	0.0315790
SBM	2	0.0321429	0.0321429	0.0321429	0.0002857	0.0005639	0.0000076
SBM	3	0.0321429	0.0321429	0.0321429	0.1000000	0.1000000	0.1000000
SBM	4	0.0321429	0.0321429	0.0321429	0.1000000	0.1000000	0.1000000
SBM	5	0.0321429	0.0321429	0.0321429	0.1000000	0.1000000	0.1000000
SBM	6	0.0321429	0.0321429	0.0321429	0.1000000	0.1000000	0.1000000
SBM	7	0.0321429	0.0321429	0.0321429	0.1000000	0.1000000	0.1000000
SBM	8	0.0321429	0.0321429	0.0321429	0.1000000	0.1000000	0.1000000
SBM	9	0.0321429	0.0321429	0.0321429	0.1000000	0.1000000	0.1000000
SBM	10	0.0322143	0.0323578	0.0320707	0.0000714	0.0002150	-0.0000721
SBM	11	0.0322143	0.0323578	0.0320707	0.1000000	0.1000000	0.1000000
SBM	12	0.0322143	0.0323578	0.0320707	0.1000000	0.1000000	0.1000000
SBM	13	0.0322857	0.0324866	0.0320848	0.0000714	0.0002150	-0.0000721
SBM	14	0.0325000	0.0328076	0.0321924	0.0002143	0.0004578	-0.0000292
SBM	15	0.0324286	0.0327067	0.0321504	0.0002143	0.0004578	-0.0000292
SBM	16	0.0326429	0.0329986	0.0322871	0.0003571	0.0006647	0.0000496
SBM	17	0.0325714	0.0329046	0.0322382	0.0003571	0.0006647	0.0000496
SBM	18	0.0326429	0.0329986	0.0322871	0.0000714	0.0002150	-0.0000721
SBM	19	0.0326429	0.0329986	0.0322871	0.0001429	0.0003438	-0.0000581
SBM	20	0.0327857	0.0331796	0.0323918	0.0001429	0.0003438	-0.0000581
