model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
BTER	1	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
BTER	2	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
BTER	3	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
BTER	4	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
BTER	5	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000	0.0000000
BTER	6	0.0008017	0.0012342	0.0003693	0.0008017	0.0012342	0.0003693
BTER	7	0.0036443	0.0037909	0.0034978	0.0028426	0.0033098	0.0023753
BTER	8	0.0035714	0.0035714	0.0035714	0.0000729	0.0002194	-0.0000737
BTER	9	0.0035714	0.0035714	0.0035714	0.0000000	0.0000000	0.0000000
BTER	10	0.0035714	0.0035714	0.0035714	0.0000000	0.0000000	0.0000000
BTER	11	0.0035714	0.0035714	0.0035714	0.0000000	0.0000000	0.0000000
BTER	12	0.0035714	0.0035714	0.0035714	0.0000000	0.0000000	0.0000000
BTER	13	0.0037172	0.0039223	0.0035121	0.0001458	0.0003509	-0.0000593
BTER	14	0.0035714	0.0035714	0.0035714	0.0001458	0.0003509	-0.0000593
BTER	15	0.0036443	0.0037909	0.0034978	0.0000729	0.0002194	-0.0000737
BTER	16	0.0037172	0.0039223	0.0035121	0.0000729	0.0002194	-0.0000737
BTER	17	0.0036443	0.0037909	0.0034978	0.0000729	0.0002194	-0.0000737
BTER	18	0.0036443	0.0037909	0.0034978	0.0000000	0.0000000	0.0000000
BTER	19	0.0036443	0.0037909	0.0034978	0.0000000	0.0000000	0.0000000
BTER	20	0.0035714	0.0035714	0.0035714	0.0000729	0.0002194	-0.0000737
