model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
HRG	1	0.0188776	0.0221818	0.0155733	0.0188776	0.0221818	0.0155733
HRG	2	0.0332362	0.0376841	0.0287882	0.0127551	0.0162901	0.0092201
HRG	3	0.0450437	0.0489208	0.0411667	0.0142857	0.0179307	0.0106408
HRG	4	0.0532070	0.0617366	0.0446774	0.0120262	0.0172515	0.0068010
HRG	5	0.0533528	0.0608075	0.0458981	0.0123907	0.0166569	0.0081244
HRG	6	0.0531551	0.0599192	0.0463909	0.0124091	0.0162303	0.0085879
HRG	7	0.0526449	0.0591822	0.0461076	0.0095481	0.0129465	0.0061497
HRG	8	0.0473971	0.0551986	0.0395955	0.0110067	0.0147869	0.0072266
HRG	9	0.0446211	0.0551046	0.0341376	0.0099064	0.0131474	0.0066653
HRG	10	0.0395150	0.0492930	0.0297371	0.0076612	0.0106306	0.0046917
HRG	11	0.0388591	0.0487557	0.0289625	0.0048834	0.0071161	0.0026506
HRG	12	0.0339028	0.0437097	0.0240959	0.0056122	0.0079905	0.0032339
HRG	13	0.0336841	0.0435953	0.0237730	0.0032070	0.0044849	0.0019291
HRG	14	0.0317162	0.0416797	0.0217527	0.0027697	0.0043680	0.0011713
HRG	15	0.0330282	0.0429869	0.0230694	0.0040816	0.0062068	0.0019565
HRG	16	0.0306229	0.0407098	0.0205361	0.0036443	0.0056581	0.0016305
HRG	17	0.0283634	0.0383091	0.0184178	0.0029155	0.0051578	0.0006731
HRG	18	0.0303314	0.0401832	0.0204795	0.0028426	0.0049982	0.0006869
HRG	19	0.0285092	0.0382591	0.0187593	0.0034985	0.0050156	0.0019815
HRG	20	0.0270515	0.0366964	0.0174065	0.0030612	0.0049804	0.0011421
