model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
BUGGE	1	0.1791816	0.1810024	0.1773609	0.1791816	0.1810024	0.1773609
BUGGE	2	0.1883087	0.1942492	0.1823683	0.0083090	0.0116423	0.0049758
BUGGE	3	0.1825039	0.1846315	0.1803763	0.0083090	0.0118028	0.0048152
BUGGE	4	0.1823579	0.1852992	0.1794165	0.0060496	0.0078534	0.0042458
BUGGE	5	0.1835991	0.1863736	0.1808247	0.0061953	0.0079939	0.0043968
BUGGE	6	0.1808975	0.1827009	0.1790941	0.0061953	0.0084387	0.0039520
BUGGE	7	0.1814817	0.1844298	0.1785335	0.0061224	0.0084067	0.0038382
BUGGE	8	0.1856436	0.1884409	0.1828463	0.0067055	0.0086433	0.0047678
BUGGE	9	0.1862643	0.1920574	0.1804711	0.0094023	0.0131405	0.0056642
BUGGE	10	0.1828690	0.1855292	0.1802088	0.0077259	0.0109451	0.0045068
BUGGE	11	0.1830880	0.1856391	0.1805370	0.0067784	0.0090068	0.0045501
BUGGE	12	0.1816642	0.1836655	0.1796629	0.0072886	0.0103801	0.0041972
BUGGE	13	0.1844753	0.1879881	0.1809626	0.0075802	0.0094721	0.0056883
BUGGE	14	0.1857166	0.1899482	0.1814851	0.0098397	0.0128779	0.0068014
BUGGE	15	0.1856436	0.1891180	0.1821693	0.0100583	0.0132179	0.0068987
BUGGE	16	0.1835991	0.1866039	0.1805944	0.0093294	0.0123189	0.0063400
BUGGE	17	0.1842928	0.1870026	0.1815830	0.0098397	0.0122136	0.0074657
BUGGE	18	0.1818833	0.1837868	0.1799797	0.0056851	0.0075919	0.0037784
BUGGE	19	0.1858992	0.1901608	0.1816376	0.0075802	0.0095065	0.0056538
BUGGE	20	0.1876151	0.1928674	0.1823628	0.0113703	0.0148658	0.0078747
