model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
GraphRNN	1	0.0017873	0.0017873	0.0017873	0.0017873	0.0017873	0.0017873
GraphRNN	2	0.6333595	1.3631583	1.3631583	0.6366713	1.3625092	1.3625092
GraphRNN	3	0.3382005	0.4948118	0.1815892	0.7747819	1.3191102	1.3191102
GraphRNN	4	0.9171102	1.0679676	0.7662527	0.8289560	0.9713528	0.6865592
GraphRNN	5	0.0417558	0.0468298	0.0366818	0.9069042	1.0600155	0.7537930
GraphRNN	6	0.6670263	0.8143095	0.5197431	0.6384330	0.7886817	0.4881843
GraphRNN	7	0.0428319	0.0459476	0.0397162	0.6382522	0.7938078	0.4826967
GraphRNN	8	0.6971374	0.8443008	0.5499741	0.6545759	0.8064660	0.5026857
GraphRNN	9	0.0422090	0.0444357	0.0399824	0.6619360	0.8160819	0.5077900
GraphRNN	10	0.7228426	0.8595283	0.5861569	0.6937675	0.8378399	0.5496950
GraphRNN	11	0.0550898	0.0595857	0.0505939	0.6887370	0.8308682	0.5466058
GraphRNN	12	0.8401110	0.9756748	0.7045472	0.7830880	0.9232147	0.6429614
