model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
SBM	1	0.0894440	0.0894440	0.0894440	0.0894440	0.0894440	0.0894440
SBM	2	0.0894440	0.0894440	0.0894440	0.0010000	0.0010000	0.0010000
SBM	3	0.0894440	0.0894440	0.0894440	0.0010000	0.0010000	0.0010000
SBM	4	0.0894440	0.0894440	0.0894440	0.0010000	0.0010000	0.0010000
SBM	5	0.0894440	0.0894440	0.0894440	0.0010000	0.0010000	0.0010000
SBM	6	0.0894440	0.0894440	0.0894440	0.0010000	0.0010000	0.0010000
SBM	7	0.0894440	0.0894440	0.0894440	0.0010000	0.0010000	0.0010000
SBM	8	0.0894440	0.0894440	0.0894440	0.0010000	0.0010000	0.0010000
SBM	9	0.0894440	0.0894440	0.0894440	0.0010000	0.0010000	0.0010000
SBM	10	0.0894440	0.0894440	0.0894440	0.0010000	0.0010000	0.0010000
SBM	11	0.0891519	0.0897392	0.0885647	0.0010000	0.0010000	0.0010000
SBM	12	0.0891519	0.0897392	0.0885647	0.0010000	0.0010000	0.0010000
SBM	13	0.0888598	0.0896816	0.0880381	0.0010000	0.0010000	0.0010000
SBM	14	0.0888598	0.0896816	0.0880381	0.0010000	0.0010000	0.0010000
SBM	15	0.0887884	0.0896184	0.0879584	0.0010000	0.0010000	0.0010000
SBM	16	0.0884961	0.0895798	0.0874124	0.0010000	0.0010000	0.0010000
SBM	17	0.0885678	0.0895635	0.0875721	0.0010000	0.0010000	0.0010000
SBM	18	0.0878405	0.0891667	0.0865144	0.0010000	0.0010000	0.0010000
SBM	19	0.0879120	0.0892373	0.0865866	0.0010000	0.0010000	0.0010000
SBM	20	0.0884247	0.0895126	0.0873367	0.0010000	0.0010000	0.0010000
