model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
BUGGE	1	0.1247813	0.1301869	0.1193758	0.1247813	0.1301869	0.1193758
BUGGE	2	0.1206268	0.1243152	0.1169384	0.0107143	0.0140581	0.0073705
BUGGE	3	0.1193149	0.1232319	0.1153979	0.0091837	0.0111028	0.0072645
BUGGE	4	0.1210843	0.1253855	0.1167830	0.0092019	0.0111141	0.0072898
BUGGE	5	0.1215743	0.1258757	0.1172730	0.0089104	0.0106689	0.0071518
BUGGE	6	0.1217930	0.1265276	0.1170584	0.0133382	0.0160343	0.0106421
BUGGE	7	0.1221574	0.1271082	0.1172067	0.0121720	0.0156629	0.0086812
BUGGE	8	0.1213557	0.1255827	0.1171287	0.0119534	0.0153269	0.0085798
BUGGE	9	0.1212099	0.1259034	0.1165164	0.0094023	0.0113744	0.0074303
BUGGE	10	0.1214124	0.1258616	0.1169632	0.0109512	0.0133631	0.0085393
BUGGE	11	0.1224490	0.1272969	0.1176011	0.0089105	0.0112519	0.0065691
BUGGE	12	0.1236880	0.1291191	0.1182570	0.0115160	0.0143118	0.0087202
BUGGE	13	0.1246356	0.1302240	0.1190472	0.0104227	0.0132152	0.0076303
BUGGE	14	0.1222303	0.1271956	0.1172651	0.0110787	0.0136196	0.0085378
BUGGE	15	0.1214286	0.1258557	0.1170014	0.0106414	0.0127613	0.0085215
BUGGE	16	0.1200437	0.1240323	0.1160552	0.0114431	0.0136590	0.0092273
BUGGE	17	0.1220845	0.1268258	0.1173433	0.0113703	0.0137363	0.0090042
BUGGE	18	0.1193149	0.1232431	0.1153867	0.0090379	0.0110692	0.0070066
BUGGE	19	0.1184402	0.1224645	0.1144159	0.0101312	0.0133367	0.0069257
BUGGE	20	0.1175656	0.1212811	0.1138501	0.0089650	0.0115306	0.0063994
