model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
HRG	1	0.0112245	0.0134798	0.0089692	0.0112245	0.0134798	0.0089692
HRG	2	0.0189504	0.0222294	0.0156715	0.0129009	0.0160475	0.0097542
HRG	3	0.0265306	0.0294170	0.0236443	0.0117347	0.0144968	0.0089726
HRG	4	0.0307580	0.0337401	0.0277759	0.0080175	0.0098252	0.0062097
HRG	5	0.0341108	0.0369439	0.0312776	0.0069971	0.0088812	0.0051130
HRG	6	0.0384111	0.0412168	0.0356054	0.0075073	0.0093116	0.0057030
HRG	7	0.0405977	0.0438396	0.0373558	0.0081633	0.0101608	0.0061657
HRG	8	0.0453353	0.0490529	0.0416176	0.0068513	0.0088360	0.0048666
HRG	9	0.0456997	0.0487984	0.0426011	0.0069971	0.0089158	0.0050784
HRG	10	0.0465015	0.0500147	0.0429883	0.0076531	0.0105089	0.0047973
HRG	11	0.0500729	0.0550214	0.0451243	0.0094752	0.0143030	0.0046475
HRG	12	0.0497813	0.0540286	0.0455341	0.0090379	0.0119627	0.0061131
HRG	13	0.0502915	0.0542304	0.0463527	0.0077988	0.0104365	0.0051611
HRG	14	0.0509475	0.0550282	0.0468668	0.0066327	0.0090746	0.0041907
HRG	15	0.0488338	0.0527758	0.0448919	0.0072886	0.0093505	0.0052267
HRG	16	0.0491983	0.0533980	0.0449985	0.0072157	0.0094366	0.0049948
HRG	17	0.0512391	0.0552207	0.0472575	0.0058309	0.0077466	0.0039152
HRG	18	0.0483236	0.0517266	0.0449207	0.0043732	0.0059157	0.0028307
HRG	19	0.0483236	0.0516877	0.0449595	0.0067055	0.0087640	0.0046471
HRG	20	0.0473761	0.0505015	0.0442507	0.0046647	0.0061186	0.0032109
