model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
BUGGE	1	0.0437318	0.0479745	0.0394891	0.0437318	0.0479745	0.0394891
BUGGE	2	0.0370991	0.0393912	0.0348070	0.0086735	0.0108994	0.0064475
BUGGE	3	0.0373178	0.0405891	0.0340465	0.0087464	0.0111160	0.0063767
BUGGE	4	0.0416181	0.0453962	0.0378399	0.0090379	0.0113327	0.0067431
BUGGE	5	0.0467930	0.0525094	0.0410766	0.0099854	0.0126090	0.0073619
BUGGE	6	0.0511662	0.0581029	0.0442295	0.0101312	0.0128722	0.0073902
BUGGE	7	0.0415452	0.0463781	0.0367123	0.0119534	0.0153463	0.0085604
BUGGE	8	0.0419096	0.0457638	0.0380555	0.0086735	0.0113139	0.0060331
BUGGE	9	0.0417638	0.0461070	0.0374207	0.0094752	0.0122098	0.0067406
BUGGE	10	0.0435860	0.0488626	0.0383094	0.0095481	0.0130167	0.0060795
BUGGE	11	0.0433673	0.0478389	0.0388958	0.0101312	0.0131537	0.0071087
BUGGE	12	0.0443149	0.0487565	0.0398733	0.0107143	0.0138272	0.0076014
BUGGE	13	0.0414723	0.0454663	0.0374783	0.0081633	0.0100126	0.0063139
BUGGE	14	0.0444606	0.0487523	0.0401690	0.0102770	0.0126147	0.0079393
BUGGE	15	0.0392857	0.0426426	0.0359288	0.0100583	0.0128258	0.0072908
BUGGE	16	0.0432945	0.0468704	0.0397185	0.0094752	0.0113073	0.0076431
BUGGE	17	0.0427114	0.0457310	0.0396917	0.0083819	0.0105535	0.0062103
BUGGE	18	0.0448980	0.0488765	0.0409194	0.0091837	0.0116789	0.0066884
BUGGE	19	0.0489796	0.0541598	0.0437994	0.0091837	0.0111921	0.0071752
BUGGE	20	0.0480321	0.0533421	0.0427220	0.0091108	0.0117682	0.0064533
