model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
Chung-Lu	1	0.0214286	0.0214286	0.0214286	0.0214286	0.0214286	0.0214286
Chung-Lu	2	0.0321429	0.0321429	0.0321429	0.0071429	0.0071429	0.0071429
Chung-Lu	3	0.0321429	0.0321429	0.0321429	0.0010000	0.0010000	0.0010000
Chung-Lu	4	0.0321429	0.0321429	0.0321429	0.0010000	0.0010000	0.0010000
Chung-Lu	5	0.0321429	0.0321429	0.0321429	0.0010000	0.0010000	0.0010000
Chung-Lu	6	0.0321429	0.0321429	0.0321429	0.0010000	0.0010000	0.0010000
Chung-Lu	7	0.0321429	0.0321429	0.0321429	0.0010000	0.0010000	0.0010000
Chung-Lu	8	0.0321429	0.0321429	0.0321429	0.0010000	0.0010000	0.0010000
Chung-Lu	9	0.0341837	0.0356344	0.0327329	0.0010000	0.0010000	0.0010000
Chung-Lu	10	0.0464286	0.0464286	0.0464286	0.0030612	0.0034239	0.0026985
Chung-Lu	11	0.0534257	0.0537188	0.0531326	0.0034985	0.0036451	0.0033520
Chung-Lu	12	0.0542274	0.0549729	0.0534820	0.0010000	0.0010000	0.0010000
Chung-Lu	13	0.0636297	0.0643752	0.0628843	0.0031341	0.0034739	0.0027944
Chung-Lu	14	0.0642857	0.0642857	0.0642857	0.0010000	0.0010000	0.0010000
Chung-Lu	15	0.0642857	0.0642857	0.0642857	0.0010000	0.0010000	0.0010000
Chung-Lu	16	0.0651603	0.0660117	0.0643090	0.0010000	0.0010000	0.0010000
Chung-Lu	17	0.0642857	0.0642857	0.0642857	0.0010000	0.0010000	0.0010000
Chung-Lu	18	0.0693149	0.0719876	0.0666421	0.0016764	0.0025673	0.0010000
Chung-Lu	19	0.0964286	0.1003516	0.0925055	0.0107143	0.0119707	0.0094579
Chung-Lu	20	0.1036443	0.1051024	0.1021862	0.0037172	0.0049553	0.0024791
