model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
Erdos-Renyi	1	0.1448251	0.1468451	0.1428051	0.1448251	0.1468451	0.1428051
Erdos-Renyi	2	0.1451166	0.1471543	0.1430790	0.0018222	0.0023403	0.0013040
Erdos-Renyi	3	0.1483236	0.1503223	0.1463250	0.0016764	0.0021936	0.0011591
Erdos-Renyi	4	0.1445335	0.1465322	0.1425349	0.0018222	0.0023403	0.0013040
Erdos-Renyi	5	0.1456997	0.1477618	0.1436376	0.0016035	0.0021190	0.0010880
Erdos-Renyi	6	0.1477405	0.1497782	0.1457029	0.0016764	0.0021936	0.0011591
Erdos-Renyi	7	0.1456997	0.1477618	0.1436376	0.0016764	0.0021936	0.0011591
Erdos-Renyi	8	0.1456997	0.1477618	0.1436376	0.0017493	0.0022674	0.0012311
Erdos-Renyi	9	0.1454082	0.1474598	0.1433565	0.0019679	0.0024835	0.0014524
Erdos-Renyi	10	0.1471574	0.1492195	0.1450953	0.0020408	0.0025537	0.0015279
Erdos-Renyi	11	0.1462828	0.1483553	0.1442103	0.0019679	0.0024835	0.0014524
Erdos-Renyi	12	0.1448251	0.1468451	0.1428051	0.0018222	0.0023403	0.0013040
Erdos-Renyi	13	0.1465743	0.1486468	0.1445018	0.0020408	0.0025537	0.0015279
Erdos-Renyi	14	0.1454082	0.1474598	0.1433565	0.0020408	0.0025537	0.0015279
Erdos-Renyi	15	0.1474490	0.1495006	0.1453973	0.0019679	0.0024835	0.0014524
Erdos-Renyi	16	0.1471574	0.1492195	0.1450953	0.0016764	0.0021936	0.0011591
Erdos-Renyi	17	0.1462828	0.1483553	0.1442103	0.0019679	0.0024835	0.0014524
Erdos-Renyi	18	0.1465743	0.1486468	0.1445018	0.0019679	0.0024835	0.0014524
Erdos-Renyi	19	0.1456997	0.1477618	0.1436376	0.0016764	0.0021936	0.0011591
Erdos-Renyi	20	0.1474490	0.1495006	0.1453973	0.0017493	0.0022674	0.0012311
