model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
GraphRNN	1	0.0317055	0.0324498	0.0309613	0.0317055	0.0324498	0.0309613
GraphRNN	2	0.0591108	0.0609250	0.0572966	0.0086735	0.0095111	0.0078359
GraphRNN	3	0.0779155	0.0786609	0.0771700	0.0064140	0.0072244	0.0056036
GraphRNN	4	0.0829446	0.0848554	0.0810339	0.0013120	0.0018928	0.0010000
GraphRNN	5	0.0846939	0.0867455	0.0826422	0.0016035	0.0021190	0.0010880
GraphRNN	6	0.0835277	0.0855011	0.0815543	0.0018950	0.0024123	0.0013778
GraphRNN	7	0.0826531	0.0845260	0.0807802	0.0013848	0.0018898	0.0010000
GraphRNN	8	0.0841108	0.0861308	0.0820908	0.0018222	0.0023403	0.0013040
GraphRNN	9	0.0846939	0.0867455	0.0826422	0.0017493	0.0022674	0.0012311
GraphRNN	10	0.0841108	0.0861308	0.0820908	0.0018950	0.0024123	0.0013778
GraphRNN	11	0.1078717	0.1117156	0.1040278	0.0108601	0.0119062	0.0098139
GraphRNN	12	0.1135569	0.1156190	0.1114947	0.0028426	0.0037548	0.0019303
