model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
BTER	1	0.0257864	0.0322693	0.0193035	0.0257864	0.0322693	0.0193035
BTER	2	0.0500643	0.0571053	0.0430233	0.0163425	0.0219521	0.0107328
BTER	3	0.0577953	0.0655723	0.0500183	0.0077214	0.0107808	0.0046619
BTER	4	0.0662089	0.0729402	0.0594775	0.0050585	0.0073907	0.0027264
BTER	5	0.0734961	0.0787544	0.0682377	0.0026464	0.0039376	0.0013552
BTER	6	0.0778955	0.0822134	0.0735776	0.0016606	0.0026707	0.0010000
BTER	7	0.0794797	0.0832467	0.0757127	0.0010000	0.0010249	0.0010000
BTER	8	0.0810944	0.0836609	0.0785279	0.0011018	0.0022667	0.0010000
BTER	9	0.0801792	0.0829035	0.0774549	0.0010000	0.0012142	0.0010000
BTER	10	0.0781734	0.0817799	0.0745668	0.0013497	0.0021768	0.0010000
BTER	11	0.0795697	0.0827940	0.0763454	0.0010581	0.0017470	0.0010000
BTER	12	0.0810053	0.0829819	0.0790287	0.0010000	0.0018369	0.0010000
BTER	13	0.0815922	0.0836761	0.0795083	0.0010000	0.0014021	0.0010000
BTER	14	0.0832340	0.0833436	0.0831244	0.0010000	0.0011419	0.0010000
BTER	15	0.0824094	0.0837049	0.0811140	0.0010000	0.0010000	0.0010000
BTER	16	0.0827883	0.0837145	0.0818620	0.0010000	0.0010000	0.0010000
BTER	17	0.0822534	0.0845248	0.0799821	0.0010000	0.0010453	0.0010000
BTER	18	0.0820714	0.0839668	0.0801761	0.0010000	0.0010000	0.0010000
BTER	19	0.0828886	0.0838170	0.0819602	0.0010000	0.0010000	0.0010000
BTER	20	0.0833511	0.0834390	0.0832632	0.0010000	0.0010000	0.0010000
