model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
Chung-Lu	1	0.0291249	0.0362550	0.0219949	0.0291249	0.0362550	0.0219949
Chung-Lu	2	0.0244708	0.0310529	0.0178887	0.0225143	0.0281786	0.0168500
Chung-Lu	3	0.0273846	0.0333762	0.0213930	0.0178407	0.0232669	0.0124146
Chung-Lu	4	0.0255372	0.0307687	0.0203057	0.0152898	0.0201553	0.0104244
Chung-Lu	5	0.0296904	0.0367997	0.0225811	0.0208432	0.0266980	0.0149885
Chung-Lu	6	0.0343486	0.0401047	0.0285925	0.0185142	0.0241116	0.0129168
Chung-Lu	7	0.0323310	0.0382252	0.0264368	0.0137457	0.0183455	0.0091458
Chung-Lu	8	0.0299034	0.0360616	0.0237452	0.0182234	0.0235272	0.0129196
Chung-Lu	9	0.0277490	0.0332656	0.0222323	0.0142663	0.0198166	0.0087160
Chung-Lu	10	0.0314635	0.0382191	0.0247078	0.0179444	0.0232858	0.0126029
Chung-Lu	11	0.0282690	0.0341129	0.0224251	0.0130147	0.0173773	0.0086522
Chung-Lu	12	0.0287364	0.0350196	0.0224532	0.0147570	0.0201564	0.0093577
Chung-Lu	13	0.0223502	0.0285587	0.0161417	0.0227501	0.0281731	0.0173271
Chung-Lu	14	0.0336922	0.0406235	0.0267609	0.0224519	0.0294699	0.0154340
Chung-Lu	15	0.0339771	0.0400449	0.0279094	0.0200886	0.0257100	0.0144672
Chung-Lu	16	0.0305071	0.0359111	0.0251031	0.0147005	0.0197115	0.0096895
Chung-Lu	17	0.0333302	0.0394673	0.0271930	0.0170206	0.0225600	0.0114811
Chung-Lu	18	0.0356694	0.0403519	0.0309870	0.0131072	0.0176428	0.0085716
Chung-Lu	19	0.0345498	0.0404546	0.0286451	0.0123447	0.0175168	0.0071726
Chung-Lu	20	0.0315810	0.0386639	0.0244981	0.0160377	0.0217363	0.0103391
