	model	gen	abs_mean	abs95d	abs95u	seq_mean	seq95d	seq95u
0	BTER	1	0.0256135	0.0319716	0.0192554	0.0256135	0.0319716	0.0192554
1	BTER	2	0.0490630	0.0562457	0.0418803	0.0163585	0.0218520	0.0108650
2	BTER	3	0.0569822	0.0647713	0.0491931	0.0079098	0.0109297	0.0048899
3	BTER	4	0.0648847	0.0719934	0.0577760	0.0053002	0.0076351	0.0029653
4	BTER	5	0.0720261	0.0779626	0.0660896	0.0025935	0.0038624	0.0013246
5	BTER	6	0.0775541	0.0818378	0.0732704	0.0028439	0.0054193	0.0002685
6	BTER	7	0.0791066	0.0828710	0.0753422	0.0006615	0.0010052	0.0003178
7	BTER	8	0.0803250	0.0832758	0.0773742	0.0011513	0.0022964	0.0000061
8	BTER	9	0.0785756	0.0827591	0.0743921	0.0015496	0.0033046	-0.0002054
9	BTER	10	0.0771711	0.0812369	0.0731054	0.0018840	0.0032288	0.0005391
10	BTER	11	0.0779783	0.0824724	0.0734842	0.0015982	0.0028761	0.0003203
11	BTER	12	0.0806017	0.0827004	0.0785030	0.0020923	0.0046720	-0.0004874
12	BTER	13	0.0808129	0.0833853	0.0782404	0.0008939	0.0014561	0.0003317
13	BTER	14	0.0827858	0.0836929	0.0818788	0.0006792	0.0012039	0.0001545
14	BTER	15	0.0824145	0.0836832	0.0811459	0.0005005	0.0007529	0.0002481
15	BTER	16	0.0823658	0.0836082	0.0811233	0.0005541	0.0008700	0.0002382
16	BTER	17	0.0822617	0.0844860	0.0800374	0.0006613	0.0011397	0.0001829
17	BTER	18	0.0820833	0.0839395	0.0802271	0.0003574	0.0006289	0.0000859
18	BTER	19	0.0828842	0.0837934	0.0819750	0.0003574	0.0005981	0.0001167
19	BTER	20	0.0833538	0.0834400	0.0832675	0.0002502	0.0004208	0.0000796
