model	gen	abs_mean	abs95d	abs95u
BUGGE	1	0.1394136	0.1392705	0.1395567
BUGGE	2	0.1394436	0.1393416	0.1395455
BUGGE	3	0.1390853	0.1389243	0.1392464
BUGGE	4	0.1384849	0.1381419	0.1388280
BUGGE	5	0.1378610	0.1374777	0.1382443
BUGGE	6	0.1369754	0.1363402	0.1376105
BUGGE	7	0.1368108	0.1361828	0.1374388
BUGGE	8	0.1376823	0.1374288	0.1379358
BUGGE	9	0.1365600	0.1359839	0.1371361
BUGGE	10	0.1357317	0.1349766	0.1364868
BUGGE	11	0.1361874	0.1353896	0.1369852
BUGGE	12	0.1362918	0.1356076	0.1369760
BUGGE	13	0.1363759	0.1357615	0.1369903
BUGGE	14	0.1366823	0.1361086	0.1372560
BUGGE	15	0.1362778	0.1356701	0.1368856
BUGGE	16	0.1365387	0.1358742	0.1372032
BUGGE	17	0.1363781	0.1357869	0.1369693
BUGGE	18	0.1368356	0.1362440	0.1374273
BUGGE	19	0.1363961	0.1356846	0.1371076
BUGGE	20	0.1365178	0.1358121	0.1372236
