model	gen	abs_mean	abs95d	abs95u
Chung-Lu	1	0.0531310	0.0531138	0.0531482
Chung-Lu	2	0.0533680	0.0533501	0.0533859
Chung-Lu	3	0.0536184	0.0536035	0.0536332
Chung-Lu	4	0.0538719	0.0538550	0.0538889
Chung-Lu	5	0.0541982	0.0541833	0.0542131
Chung-Lu	6	0.0545820	0.0545680	0.0545961
Chung-Lu	7	0.0549552	0.0549414	0.0549691
Chung-Lu	8	0.0552958	0.0552835	0.0553081
Chung-Lu	9	0.0556160	0.0556017	0.0556302
Chung-Lu	10	0.0559028	0.0558894	0.0559162
Chung-Lu	11	0.0561709	0.0561532	0.0561885
Chung-Lu	12	0.0564193	0.0564036	0.0564349
Chung-Lu	13	0.0566488	0.0566298	0.0566678
Chung-Lu	14	0.0568566	0.0568424	0.0568707
Chung-Lu	15	0.0570657	0.0570513	0.0570802
Chung-Lu	16	0.0572628	0.0572477	0.0572779
Chung-Lu	17	0.0574352	0.0574227	0.0574476
Chung-Lu	18	0.0576052	0.0575922	0.0576183
Chung-Lu	19	0.0577624	0.0577493	0.0577755
Chung-Lu	20	0.0579207	0.0579074	0.0579340
