model	gen	abs_mean	abs95d	abs95u
HRG	1	0.0194620	0.0161673	0.0227568
HRG	2	0.0254682	0.0186585	0.0322779
HRG	3	0.0265959	0.0230319	0.0301600
HRG	4	0.0302838	0.0250809	0.0354867
HRG	5	0.0292704	0.0261866	0.0323543
HRG	6	0.0296544	0.0275740	0.0317348
HRG	7	0.0281991	0.0269988	0.0293994
HRG	8	0.0286513	0.0272881	0.0300146
HRG	9	0.0275425	0.0268195	0.0282656
HRG	10	0.0268420	0.0259299	0.0277540
HRG	11	0.0264358	0.0254759	0.0273957
HRG	12	0.0261730	0.0252684	0.0270777
HRG	13	0.0258241	0.0248248	0.0268234
HRG	14	0.0252455	0.0240872	0.0264039
HRG	15	0.0251446	0.0240523	0.0262370
HRG	16	0.0247936	0.0236273	0.0259598
HRG	17	0.0244317	0.0232313	0.0256321
HRG	18	0.0242890	0.0231401	0.0254379
HRG	19	0.0235096	0.0222627	0.0247565
HRG	20	0.0235301	0.0222772	0.0247830
