model	gen	abs_mean	abs95d	abs95u
BUGGE	1	0.0066820	0.0060828	0.0072811
BUGGE	2	0.0181291	0.0149565	0.0213017
BUGGE	3	0.0137304	0.0119640	0.0154968
BUGGE	4	0.0124852	0.0102675	0.0147029
BUGGE	5	0.0115650	0.0101310	0.0129990
BUGGE	6	0.0111814	0.0096334	0.0127293
BUGGE	7	0.0108088	0.0088260	0.0127917
BUGGE	8	0.0121697	0.0105691	0.0137702
BUGGE	9	0.0114318	0.0085951	0.0142685
BUGGE	10	0.0097211	0.0086512	0.0107910
BUGGE	11	0.0102727	0.0088489	0.0116965
BUGGE	12	0.0105783	0.0089830	0.0121736
BUGGE	13	0.0111741	0.0094301	0.0129181
BUGGE	14	0.0120771	0.0096099	0.0145443
BUGGE	15	0.0118655	0.0098543	0.0138768
BUGGE	16	0.0121018	0.0103323	0.0138713
BUGGE	17	0.0102617	0.0091852	0.0113382
BUGGE	18	0.0097516	0.0087418	0.0107614
BUGGE	19	0.0128365	0.0104971	0.0151758
BUGGE	20	0.0100626	0.0086602	0.0114650
