model	gen	abs_mean	abs95d	abs95u
Chung-Lu	0	0.0000000	nan	nan
Chung-Lu	1	0.0802816	0.0802564	0.0803069
Chung-Lu	2	0.0802695	0.0802436	0.0802954
Chung-Lu	3	0.0802504	0.0802289	0.0802719
Chung-Lu	4	0.0802267	0.0802014	0.0802520
Chung-Lu	5	0.0802491	0.0802283	0.0802700
Chung-Lu	6	0.0802413	0.0802198	0.0802628
Chung-Lu	7	0.0802532	0.0802272	0.0802793
Chung-Lu	8	0.0802511	0.0802270	0.0802753
Chung-Lu	9	0.0802465	0.0802215	0.0802715
Chung-Lu	10	0.0842396	0.0762007	0.0922784
Chung-Lu	11	0.0802505	0.0802255	0.0802754
Chung-Lu	12	0.0842253	0.0761867	0.0922640
Chung-Lu	13	0.0882310	0.0769822	0.0994799
Chung-Lu	14	0.0802229	0.0801966	0.0802493
Chung-Lu	15	0.0802180	0.0801924	0.0802435
Chung-Lu	16	0.0802197	0.0801954	0.0802441
Chung-Lu	17	0.0802032	0.0801797	0.0802267
Chung-Lu	18	0.0801966	0.0801736	0.0802196
Chung-Lu	19	0.0842036	0.0761656	0.0922416
Chung-Lu	20	0.0802082	0.0801841	0.0802324
