model	gen	abs_mean	abs95d	abs95u
GCN_AE	0	0.0000000	nan	nan
GCN_AE	1	6.3725404	nan	nan
GCN_AE	2	2.6997931	nan	nan
GCN_AE	3	1.6250543	nan	nan
GCN_AE	4	1.4088101	nan	nan
GCN_AE	5	1.4097254	nan	nan
GCN_AE	6	1.4101842	nan	nan
GCN_AE	7	1.4101842	nan	nan
GCN_AE	8	1.4101842	nan	nan
GCN_AE	9	1.4101842	nan	nan
GCN_AE	10	1.4101842	nan	nan
GCN_AE	11	1.4101842	nan	nan
GCN_AE	12	1.4101842	nan	nan
GCN_AE	13	1.4101842	nan	nan
GCN_AE	14	1.4101842	nan	nan
GCN_AE	15	1.4101842	nan	nan
GCN_AE	16	1.4101842	nan	nan
GCN_AE	17	1.4101842	nan	nan
GCN_AE	18	1.4101842	nan	nan
GCN_AE	19	1.4101842	nan	nan
GCN_AE	20	1.4101842	nan	nan
