model	gen	abs_mean	abs95d	abs95u
Kronecker	0	0.0000000	nan	nan
Kronecker	1	0.0271204	nan	nan
Kronecker	2	0.0406450	nan	nan
Kronecker	3	0.0666519	nan	nan
Kronecker	4	0.1428932	nan	nan
Kronecker	5	0.3216842	nan	nan
Kronecker	6	0.6914954	nan	nan
Kronecker	7	1.2680586	nan	nan
Kronecker	8	1.9276664	nan	nan
Kronecker	9	1.8607187	nan	nan
Kronecker	10	1.1957172	nan	nan
Kronecker	11	1.1092019	nan	nan
Kronecker	12	1.0990308	nan	nan
Kronecker	13	1.1200150	nan	nan
Kronecker	14	1.1083146	nan	nan
Kronecker	15	1.0987377	nan	nan
Kronecker	16	1.1189188	nan	nan
Kronecker	17	1.1071347	nan	nan
