model	gen	abs_mean	abs95d	abs95u
Linear_AE	0	0.0000000	nan	nan
Linear_AE	1	1.7586534	nan	nan
Linear_AE	2	1.7284692	nan	nan
Linear_AE	3	1.6749564	nan	nan
Linear_AE	4	1.6517663	nan	nan
Linear_AE	5	1.6405568	nan	nan
Linear_AE	6	1.6272264	nan	nan
Linear_AE	7	1.6258132	nan	nan
Linear_AE	8	1.6235266	nan	nan
Linear_AE	9	1.6216086	nan	nan
Linear_AE	10	1.6209453	nan	nan
Linear_AE	11	1.6207589	nan	nan
Linear_AE	12	1.6202010	nan	nan
Linear_AE	13	1.6200300	nan	nan
Linear_AE	14	1.6200910	nan	nan
Linear_AE	15	1.6202292	nan	nan
Linear_AE	16	1.6202595	nan	nan
Linear_AE	17	1.6203306	nan	nan
Linear_AE	18	1.6203542	nan	nan
Linear_AE	19	1.6203824	nan	nan
Linear_AE	20	1.6205303	nan	nan
