model	gen	abs_mean	abs95d	abs95u
Chung-Lu	0	0.0000000	nan	nan
Chung-Lu	1	0.0387464	0.0386715	0.0388213
Chung-Lu	2	0.0454723	0.0454109	0.0455337
Chung-Lu	3	0.0494910	0.0494474	0.0495345
Chung-Lu	4	0.0520553	0.0520163	0.0520944
Chung-Lu	5	0.0538852	0.0538485	0.0539220
Chung-Lu	6	0.0552368	0.0552037	0.0552700
Chung-Lu	7	0.0562817	0.0562518	0.0563117
Chung-Lu	8	0.0571118	0.0570848	0.0571389
Chung-Lu	9	0.0578040	0.0577792	0.0578289
Chung-Lu	10	0.0583725	0.0583499	0.0583952
Chung-Lu	11	0.0588733	0.0588519	0.0588947
Chung-Lu	12	0.0593002	0.0592781	0.0593224
Chung-Lu	13	0.0596774	0.0596567	0.0596981
Chung-Lu	14	0.0600075	0.0599869	0.0600282
Chung-Lu	15	0.0603040	0.0602850	0.0603231
Chung-Lu	16	0.0605705	0.0605529	0.0605881
Chung-Lu	17	0.0608021	0.0607855	0.0608187
Chung-Lu	18	0.0610208	0.0610052	0.0610363
Chung-Lu	19	0.0612147	0.0611994	0.0612300
Chung-Lu	20	0.0613972	0.0613828	0.0614116
