model	gen	abs_mean	abs95d	abs95u
Kronecker	0	0.0000000	nan	nan
Kronecker	1	0.1741690	nan	nan
Kronecker	2	0.4874913	nan	nan
Kronecker	3	1.0932083	nan	nan
Kronecker	4	1.7673379	nan	nan
Kronecker	5	1.6344483	nan	nan
Kronecker	6	1.0102257	nan	nan
Kronecker	7	0.9801333	nan	nan
Kronecker	8	0.9777572	nan	nan
Kronecker	9	0.9771121	nan	nan
Kronecker	10	0.9763926	nan	nan
Kronecker	11	0.9764577	nan	nan
Kronecker	12	0.9764158	nan	nan
Kronecker	13	0.9759546	nan	nan
Kronecker	14	0.9758156	nan	nan
Kronecker	15	0.9758134	nan	nan
Kronecker	16	0.9762808	nan	nan
Kronecker	17	0.9757041	nan	nan
Kronecker	18	0.9756365	nan	nan
Kronecker	19	0.9762300	nan	nan
Kronecker	20	0.9765004	nan	nan
