model	gen	abs_mean	abs95d	abs95u
Linear_AE	1	0.0451496	0.0450377	0.0452615
Linear_AE	2	0.0353602	0.0351440	0.0355764
Linear_AE	3	0.0328471	0.0328172	0.0328770
Linear_AE	4	0.0328523	0.0328216	0.0328830
Linear_AE	5	0.0328331	0.0327984	0.0328678
Linear_AE	6	0.0327822	0.0327391	0.0328253
Linear_AE	7	0.0326994	0.0326377	0.0327610
Linear_AE	8	0.0326447	0.0325758	0.0327137
Linear_AE	9	0.0326261	0.0325554	0.0326968
Linear_AE	10	0.0326177	0.0325484	0.0326870
Linear_AE	11	0.0326068	0.0325389	0.0326747
Linear_AE	12	0.0326073	0.0325389	0.0326756
Linear_AE	13	0.0326086	0.0325394	0.0326778
Linear_AE	14	0.0326093	0.0325397	0.0326789
Linear_AE	15	0.0326070	0.0325390	0.0326751
Linear_AE	16	0.0326052	0.0325382	0.0326722
Linear_AE	17	0.0326168	0.0325473	0.0326863
Linear_AE	18	0.0325927	0.0325197	0.0326657
Linear_AE	19	0.0325927	0.0325197	0.0326657
Linear_AE	20	0.0325926	0.0325196	0.0326656
