model	gen	abs_mean	abs95d	abs95u
CNRG	1	0.0316866	0.0311360	0.0322372
CNRG	2	0.0459392	0.0456268	0.0462517
CNRG	3	0.0527824	0.0525689	0.0529958
CNRG	4	0.0564912	0.0563416	0.0566407
CNRG	5	0.0587902	0.0586696	0.0589109
CNRG	6	0.0603096	0.0602231	0.0603961
CNRG	7	0.0613534	0.0612806	0.0614262
CNRG	8	0.0621275	0.0620603	0.0621948
CNRG	9	0.0627093	0.0626540	0.0627645
CNRG	10	0.0631670	0.0631150	0.0632190
CNRG	11	0.0635491	0.0634919	0.0636063
CNRG	12	0.0638506	0.0637954	0.0639058
CNRG	13	0.0640951	0.0640378	0.0641523
CNRG	14	0.0642893	0.0642312	0.0643474
CNRG	15	0.0644707	0.0644093	0.0645321
CNRG	16	0.0646228	0.0645613	0.0646843
CNRG	17	0.0647545	0.0646954	0.0648137
CNRG	18	0.0648638	0.0648027	0.0649250
CNRG	19	0.0649614	0.0649012	0.0650215
CNRG	20	0.0650366	0.0649769	0.0650963
