model	gen	abs_mean	abs95d	abs95u
Chung-Lu	0	0.0000000	nan	nan
Chung-Lu	1	0.0486542	0.0485938	0.0487145
Chung-Lu	2	0.0517489	0.0516848	0.0518129
Chung-Lu	3	0.0542032	0.0541494	0.0542569
Chung-Lu	4	0.0561516	0.0561024	0.0562008
Chung-Lu	5	0.0576151	0.0575762	0.0576540
Chung-Lu	6	0.0587186	0.0586829	0.0587544
Chung-Lu	7	0.0596089	0.0595785	0.0596393
Chung-Lu	8	0.0603204	0.0602911	0.0603497
Chung-Lu	9	0.0609049	0.0608791	0.0609306
Chung-Lu	10	0.0614031	0.0613797	0.0614265
Chung-Lu	11	0.0618356	0.0618135	0.0618578
Chung-Lu	12	0.0622051	0.0621878	0.0622224
Chung-Lu	13	0.0625320	0.0625138	0.0625502
Chung-Lu	14	0.0628177	0.0628030	0.0628323
Chung-Lu	15	0.0630605	0.0630458	0.0630753
Chung-Lu	16	0.0633075	0.0632921	0.0633229
Chung-Lu	17	0.0635010	0.0634876	0.0635143
Chung-Lu	18	0.0636975	0.0636843	0.0637106
Chung-Lu	19	0.0638692	0.0638561	0.0638823
Chung-Lu	20	0.0640231	0.0640111	0.0640350
