model	gen	abs_mean	abs95d	abs95u
SBM	0	0.0000000	nan	nan
SBM	1	0.0431562	0.0430235	0.0432890
SBM	2	0.0435784	0.0434368	0.0437200
SBM	3	0.0438838	0.0437022	0.0440655
SBM	4	0.0441562	0.0439907	0.0443217
SBM	5	0.0443774	0.0441995	0.0445554
SBM	6	0.0446149	0.0444231	0.0448068
SBM	7	0.0449128	0.0447024	0.0451232
SBM	8	0.0450915	0.0448788	0.0453042
SBM	9	0.0452282	0.0450229	0.0454335
SBM	10	0.0454673	0.0452499	0.0456847
SBM	11	0.0455192	0.0452849	0.0457535
SBM	12	0.0457050	0.0454648	0.0459452
SBM	13	0.0458070	0.0455663	0.0460477
SBM	14	0.0459188	0.0456684	0.0461692
SBM	15	0.0461441	0.0458943	0.0463939
SBM	16	0.0462372	0.0459859	0.0464884
SBM	17	0.0463660	0.0461175	0.0466144
SBM	18	0.0464527	0.0462110	0.0466943
SBM	19	0.0465496	0.0463073	0.0467920
SBM	20	0.0466101	0.0463757	0.0468446
